id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real,escenario_sintetico,monto_capped,monto_norm,modalidad_Adjudicación Simplificada,modalidad_Comparación de Precios,modalidad_Concurso Público,modalidad_Concurso Público Abreviado,modalidad_Contratación Directa,modalidad_Licitación Pública,modalidad_Licitación Pública Abreviada,es_contratacion_directa,es_comparacion_precios
C003230,P0197,E05,F059,Concurso Público,Adquisición de materiales de construcción,goods,68651.05,2025-12-01,False,False,normal,68651.05,-0.42358934959829436,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C700229,P0197,E14,F029,Concurso Público,Servicio de conservación preventiva de infraestructura,services,262804.7,2026-02-21,False,False,hard_negative_concentracion_legitima,262804.7,0.6584303987214812,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C900069,P0089,E08,F022,Comparación de Precios,Servicio de limpieza y vigilancia,services,268405.87,2025-04-29,True,False,favoritismo_sembrado,268405.87,0.6896457611609526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000305,P0198,E15,F035,Comparación de Precios,Servicio de limpieza y vigilancia,services,29293.57,2023-10-29,False,False,normal,29293.57,-0.6429288809648208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001652,P0144,E09,F027,Licitación Pública,Suministro de combustible,goods,15640.92,2023-06-30,False,False,normal,15640.92,-0.7190152018601426,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C800077,P0179,E00,F041,Adjudicación Simplificada,Obra de rehabilitación de carretera,works,1104414.51,2024-07-17,False,True,fraccionamiento_sembrado,893500.9790000003,4.173305494141007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001116,P0132,E04,F019,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,45580.62,2024-07-23,False,False,normal,45580.62,-0.5521610291017649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000693,P0140,E03,F000,Contratación Directa,Servicio de transporte,services,121072.9,2023-02-18,False,False,normal,121072.9,-0.1314419861907199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C002607,P0127,E03,F000,Adjudicación Simplificada,Servicio de transporte,services,47063.85,2025-02-09,False,False,normal,47063.85,-0.5438949771820594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001650,P0029,E11,F054,Comparación de Precios,Obra de rehabilitación vial,works,50938.5,2023-06-16,False,False,normal,50938.5,-0.5223015236578675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C900271,P0138,E05,F032,Contratación Directa,Adquisición de materiales de construcción,goods,576443.05,2025-09-11,True,False,favoritismo_sembrado,576443.05,2.406339276718005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C002550,P0121,E00,F038,Adjudicación Simplificada,Obra de rehabilitación vial,works,71416.75,2026-06-10,False,False,normal,71416.75,-0.4081760827453251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002313,P0004,E13,F058,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,25180.21,2024-09-04,False,False,normal,25180.21,-0.6658526671102197,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000070,P0084,E09,F034,Licitación Pública,Servicio de transporte,services,116492.86,2026-01-13,False,False,normal,116492.86,-0.15696658347794318,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C002117,P0186,E08,F028,Concurso Público,Adquisición de bienes de oficina,goods,22494.7,2025-10-19,False,False,normal,22494.7,-0.6808190344914677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C000144,P0175,E00,F038,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,31950.21,2024-10-25,False,False,normal,31950.21,-0.6281234063102046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001800,P0082,E12,F050,Comparación de Precios,Adquisición de materiales de construcción,goods,3304.38,2023-03-17,False,False,normal,3304.38,-0.7877668318497763,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000744,P0166,E16,F057,Concurso Público,Servicio de transporte,services,31214.12,2025-02-16,False,False,normal,31214.12,-0.6322256414035994,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C001593,P0070,E13,F055,Concurso Público,Obra de rehabilitación vial,works,1613399.67,2023-02-02,False,False,normal,893500.9790000003,4.173305494141007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C000544,P0205,E04,F053,Adjudicación Simplificada,Servicio de capacitación,services,92922.04,2024-12-29,False,False,normal,92922.04,-0.2883269402061877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002387,P0113,E04,F053,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,54250.36,2023-05-17,False,False,normal,54250.36,-0.5038445030266802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002011,P0219,E16,F002,Adjudicación Simplificada,Suministro de combustible,goods,42814.09,2024-09-14,False,False,normal,42814.09,-0.5675789215509623,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000351,P0213,E02,F011,Comparación de Precios,Consultoría en ingeniería,services,35297.73,2026-02-26,False,False,normal,35297.73,-0.6094676522314353,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001688,P0020,E07,F013,Adjudicación Simplificada,Consultoría en ingeniería,services,117034.2,2024-07-16,False,False,normal,117034.2,-0.15394969159589295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003029,P0115,E01,F017,Contratación Directa,Obra de rehabilitación vial,works,10182.42,2023-10-30,False,False,normal,10182.42,-0.7494354633190617,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C002476,P0202,E09,F034,Adjudicación Simplificada,Consultoría en ingeniería,services,113842.92,2024-02-24,False,False,normal,113842.92,-0.17173471898228476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002083,P0214,E01,F018,Contratación Directa,Adquisición de materiales de construcción,goods,70243.03,2023-09-28,False,False,normal,70243.03,-0.414717233112562,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C000505,P0012,E15,F035,Adjudicación Simplificada,Servicio de capacitación,services,31438.6,2023-03-04,False,False,normal,31438.6,-0.6309746126791699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000166,P0159,E04,F019,Adjudicación Simplificada,Servicio de transporte,services,20409.48,2025-02-27,False,False,normal,20409.48,-0.6924399811983226,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001902,P0071,E09,F027,Licitación Pública,Servicio de capacitación,services,30663.15,2023-01-15,False,False,normal,30663.15,-0.6352962013479102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C001602,P0107,E10,F026,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,64459.8,2024-05-05,False,False,normal,64459.8,-0.44694721729815606,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003244,P0202,E07,F036,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,79843.28,2023-10-15,False,False,normal,79843.28,-0.3612149678252139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001675,P0219,E17,F012,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,45681.05,2025-05-04,False,False,normal,45681.05,-0.5516013319581689,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001966,P0017,E05,F001,Comparación de Precios,Adquisición de materiales de construcción,goods,36117.22,2023-02-10,False,False,normal,36117.22,-0.6049006283122323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003416,P0055,E02,F011,Concurso Público,Servicio de transporte,services,12855.59,2025-06-02,False,False,normal,12855.59,-0.7345378668504094,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C001556,P0160,E13,F055,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,253786.95,2025-02-05,False,False,normal,253786.95,0.6081744103050355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001407,P0092,E08,F015,Comparación de Precios,Consultoría en ingeniería,services,35158.52,2026-06-18,False,False,normal,35158.52,-0.6102434706060248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000109,P0075,E11,F049,Comparación de Precios,Servicio de transporte,services,58831.76,2024-06-20,False,False,normal,58831.76,-0.4783123264492517,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
