id_proveedor,id_entidad,n_contratos,monto_total,monto_promedio,n_objetos_unicos,pct_no_competitiva,n_funcionarios_distintos,label_favoritismo_real,dias_actividad,concentracion_objeto,contratos_por_mes,monto_por_funcionario
P0000,E00,1,110530.22,110530.22,1,0.0,1,False,1,0.0,30.0,110530.22
P0000,E01,1,66163.37,66163.37,1,0.0,1,False,1,0.0,30.0,66163.37
P0000,E03,2,98400.69,49200.345,2,0.5,1,False,851,0.0,0.07050528789659224,98400.69
P0000,E05,1,96185.54,96185.54,1,0.0,1,False,1,0.0,30.0,96185.54
P0000,E07,2,148478.24,74239.12,2,0.0,2,False,367,0.0,0.16348773841961853,74239.12
P0000,E08,1,61530.634999999995,61530.634999999995,1,1.0,1,False,1,0.0,30.0,61530.634999999995
P0000,E11,1,189925.64,189925.64,1,0.0,1,False,1,0.0,30.0,189925.64
P0000,E13,1,133902.39,133902.39,1,0.0,1,False,1,0.0,30.0,133902.39
P0000,E15,11,2407293.7199999997,218844.8836363636,1,1.0,1,True,785,0.9090909090909091,0.4203821656050955,2407293.7199999997
P0001,E02,2,112214.89,56107.445,2,0.0,2,False,826,0.0,0.07263922518159806,56107.445
P0001,E04,1,43190.54,43190.54,1,0.0,1,False,1,0.0,30.0,43190.54
P0001,E05,1,41101.01,41101.01,1,0.0,1,False,1,0.0,30.0,41101.01
P0001,E10,1,61530.634999999995,61530.634999999995,1,0.0,1,False,1,0.0,30.0,61530.634999999995
P0001,E12,2,285462.27,142731.135,2,1.0,2,False,510,0.0,0.11764705882352941,142731.135
P0001,E13,3,93837.26999999999,31279.089999999997,3,0.0,2,False,890,0.0,0.10112359550561797,46918.634999999995
P0001,E15,1,141863.28,141863.28,1,0.0,1,False,1,0.0,30.0,141863.28
P0001,E16,1,61898.21,61898.21,1,1.0,1,False,1,0.0,30.0,61898.21
P0001,E17,2,845391.66,422695.83,2,0.5,2,False,197,0.0,0.30456852791878175,422695.83
P0002,E04,1,147615.68,147615.68,1,0.0,1,False,1,0.0,30.0,147615.68
P0002,E09,1,65727.925,65727.925,1,1.0,1,False,1,0.0,30.0,65727.925
P0002,E10,1,49616.81,49616.81,1,1.0,1,False,1,0.0,30.0,49616.81
P0002,E11,1,38467.63,38467.63,1,1.0,1,False,1,0.0,30.0,38467.63
P0002,E14,3,221899.22,73966.40666666666,2,0.3333333333333333,1,False,289,0.33333333333333337,0.31141868512110726,221899.22
P0002,E15,1,319451.02,319451.02,1,0.0,1,False,1,0.0,30.0,319451.02
P0002,E16,1,118009.92,118009.92,1,0.0,1,False,1,0.0,30.0,118009.92
P0002,E17,1,43336.93,43336.93,1,0.0,1,False,1,0.0,30.0,43336.93
P0003,E01,3,236889.95,78963.31666666667,3,0.3333333333333333,3,False,282,0.0,0.3191489361702127,78963.31666666667
P0003,E04,1,353408.29,353408.29,1,1.0,1,False,1,0.0,30.0,353408.29
P0003,E06,1,25585.99,25585.99,1,1.0,1,False,1,0.0,30.0,25585.99
P0003,E07,1,57673.14,57673.14,1,0.0,1,False,1,0.0,30.0,57673.14
P0003,E08,1,224338.2,224338.2,1,0.0,1,False,1,0.0,30.0,224338.2
P0003,E11,1,60323.66,60323.66,1,1.0,1,False,1,0.0,30.0,60323.66
P0003,E12,2,121665.805,60832.9025,2,0.5,2,False,91,0.0,0.6593406593406593,60832.9025
P0003,E13,1,61530.634999999995,61530.634999999995,1,1.0,1,False,1,0.0,30.0,61530.634999999995
P0003,E14,2,123980.36,61990.18,2,1.0,2,False,223,0.0,0.26905829596412556,61990.18
P0003,E16,3,163788.33000000002,54596.11000000001,3,0.6666666666666666,2,False,601,0.0,0.14975041597337768,81894.16500000001
