id_proveedor,id_entidad,objeto,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real
P0000,E15,Adquisición de bienes de oficina,11,2,619273.87,1.0,2407293.72,False
P0002,E14,Adquisición de bienes de oficina,2,1,60630.46,1.0,141443.13,False
P0003,E17,Servicio de limpieza y vigilancia,2,1,176461.18,1.0,183429.25999999998,False
P0004,E01,Servicio de capacitación,2,1,55340.72,0.5,767045.27,False
P0007,E09,Servicio de capacitación,2,1,337211.43,1.0,358244.36,False
P0008,E04,Servicio de limpieza y vigilancia,2,1,8285.41,1.0,110118.05,False
P0008,E15,Servicio de limpieza y vigilancia,5,5,512445.32499999995,1.0,512445.32499999995,True
P0014,E01,Servicio de mantenimiento de infraestructura,2,1,100690.2,1.0,184941.19,False
P0019,E13,Adquisición de bienes de oficina,2,1,8638.63,1.0,70336.61,False
P0023,E14,Suministro de combustible,2,1,215947.99,1.0,476032.98,False
P0023,E15,Adquisición de bienes de oficina,2,1,353163.13,1.0,394697.78,False
P0024,E02,Suministro de combustible,2,1,157210.55,1.0,363874.62,False
P0027,E10,Adquisición de equipos informáticos,2,1,62580.71,1.0,89262.37,False
P0030,E07,Adquisición de bienes de oficina,2,1,26461.77,1.0,37069.4,False
P0030,E12,Adquisición de materiales de construcción,2,1,24050.75,1.0,574308.12,False
P0030,E13,Servicio de limpieza y vigilancia,2,1,5742.54,1.0,67273.17499999999,False
P0031,E00,Suministro de combustible,2,1,55667.01,0.5,547987.28,False
P0032,E14,Servicio de mantenimiento de infraestructura,2,1,39452.73,1.0,180859.53,False
P0034,E08,Servicio de mantenimiento de infraestructura,2,1,11890.18,1.0,91482.75,False
P0035,E10,Adquisición de equipos informáticos,2,1,20419.88,1.0,34865.39,False
P0037,E11,Adquisición de equipos informáticos,2,1,189395.31,1.0,299453.17,False
P0038,E03,Servicio de mantenimiento de infraestructura,2,1,28695.46,1.0,43661.78,False
P0038,E16,Consultoría en ingeniería,2,1,329700.61,1.0,443698.91,False
P0039,E08,Servicio de capacitación,2,1,102732.62,1.0,194381.0,False
P0040,E17,Adquisición de bienes de oficina,2,1,14303.97,1.0,119232.3,False
P0046,E08,Adquisición de materiales de construcción,2,1,22223.24,1.0,71289.57,False
P0047,E11,Servicio de mantenimiento de infraestructura,2,1,72058.19,1.0,141474.05,False
P0049,E16,Servicio de mantenimiento de infraestructura,14,2,602784.12,1.0,3148144.86,False
P0051,E08,Adquisición de bienes de oficina,15,2,258276.05000000002,1.0,3418163.9899999998,False
P0053,E08,Obra de rehabilitación vial,2,2,187482.64,1.0,187482.64,False
P0054,E07,Servicio de limpieza y vigilancia,3,1,83282.2,1.0,137594.04,False
P0055,E03,Consultoría en ingeniería,2,1,56397.34,1.0,72334.54999999999,False
P0057,E08,Adquisición de bienes de oficina,2,1,85541.45,1.0,107394.75,False
P0058,E11,Servicio de mantenimiento de infraestructura,2,1,42461.23,1.0,58994.94,False
P0060,E13,Adquisición de bienes de oficina,2,1,124417.94,1.0,158299.78,False
P0063,E06,Servicio de capacitación,2,1,113542.92,1.0,214169.27000000002,False
P0063,E11,Servicio de capacitación,2,1,24625.44,1.0,43054.729999999996,False
P0064,E14,Consultoría en ingeniería,2,1,14798.98,1.0,36033.369999999995,False
P0066,E11,Servicio de mantenimiento de infraestructura,2,1,11823.33,1.0,52228.060000000005,False
P0066,E13,Adquisición de bienes de oficina,3,3,906095.78,1.0,906095.78,True
P0066,E14,Adquisición de equipos informáticos,2,1,91317.28,1.0,375910.53,False
P0067,E00,Adquisición de equipos informáticos,4,4,707375.6299999999,1.0,707375.6299999999,True
P0072,E07,Servicio de capacitación,2,1,83278.32,1.0,98766.55,False
P0073,E02,Adquisición de bienes de oficina,2,1,248589.81,1.0,303081.61,False
P0073,E13,Obra de rehabilitación vial,2,1,25295.93,1.0,51048.94,False
P0075,E17,Suministro de combustible,2,1,172569.07,1.0,296777.42000000004,False
P0079,E00,Adquisición de equipos informáticos,2,1,44104.72,1.0,92524.41,False
P0080,E04,Consultoría en ingeniería,2,1,192865.08,1.0,199371.37999999998,False
P0082,E05,Obra de rehabilitación vial,2,1,86166.87,1.0,147281.62,False
P0082,E13,Adquisición de equipos informáticos,2,1,68630.48,1.0,161157.31,False
P0084,E14,Servicio de capacitación,2,1,14620.51,1.0,37591.52,False
P0086,E17,Consultoría en ingeniería,2,1,26716.44,1.0,55034.13,False
P0087,E09,Adquisición de materiales de construcción,2,1,15084.69,1.0,232014.93,False
P0088,E14,Consultoría en ingeniería,2,1,21809.8,1.0,121443.46,False
P0089,E06,Servicio de mantenimiento de infraestructura,2,1,113045.38,1.0,144216.67,False
P0093,E11,Servicio de limpieza y vigilancia,2,1,65943.58,1.0,127474.215,False
P0093,E16,Servicio de limpieza y vigilancia,5,5,1034203.56,1.0,1034203.56,True
P0094,E00,Suministro de combustible,2,1,18740.36,1.0,96815.27,False
