id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real
CN000398,P0147,E00,F041,Comparación de Precios,Suministro de combustible,goods,71864.2,2026-09-29,False,False
CN000247,P0080,E02,F025,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,15198.83,2026-07-15,False,False
CN000667,P0129,E13,F056,Contratación Directa,Servicio de mantenimiento de infraestructura,services,80883.35,2026-09-16,False,False
CN000459,P0090,E10,F008,Contratación Directa,Adquisición de materiales de construcción,goods,20403.28,2026-07-01,False,False
CN000195,P0008,E08,F005,Comparación de Precios,Adquisición de materiales de construcción,goods,126100.24,2026-07-01,False,False
CN000233,P0173,E02,F051,Licitación Pública,Obra de rehabilitación vial,works,11539.32,2026-08-18,False,False
CND0200,P0216,E03,F000,Contratación Directa,Servicio de mantenimiento de infraestructura,services,1263307.62,2026-08-14,True,False
CN000306,P0030,E17,F012,Comparación de Precios,Adquisición de equipos informáticos,goods,36201.9,2026-09-02,False,False
CN000078,P0146,E05,F032,Concurso Público,Consultoría en ingeniería,services,44928.27,2026-08-06,False,False
CN000462,P0101,E00,F010,Contratación Directa,Adquisición de bienes de oficina,goods,136130.65,2026-08-19,False,False
CN000022,P0003,E11,F007,Contratación Directa,Obra de rehabilitación vial,works,92396.76,2026-08-09,False,False
CN000416,P0148,E04,F053,Contratación Directa,Servicio de limpieza y vigilancia,services,27410.21,2026-07-12,False,False
CN000336,P0026,E10,F026,Contratación Directa,Consultoría en ingeniería,services,52413.75,2026-08-03,False,False
CN000463,P0051,E05,F032,Contratación Directa,Obra de rehabilitación vial,works,12402.32,2026-07-15,False,False
CN000015,P0105,E04,F019,Comparación de Precios,Suministro de combustible,goods,756045.22,2026-07-17,False,False
CN000421,P0186,E17,F003,Contratación Directa,Adquisición de equipos informáticos,goods,88581.61,2026-08-24,False,False
CN000191,P0043,E09,F043,Concurso Público,Adquisición de materiales de construcción,goods,173880.86,2026-08-04,False,False
CN000040,P0167,E09,F043,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,48783.04,2026-09-14,False,False
CN000118,P0075,E15,F035,Contratación Directa,Adquisición de equipos informáticos,goods,124453.24,2026-09-19,False,False
CN000429,P0074,E02,F011,Adjudicación Simplificada,Servicio de transporte,services,91841.49,2026-08-26,False,False
CN000135,P0078,E00,F038,Comparación de Precios,Servicio de limpieza y vigilancia,services,61081.16,2026-07-20,False,False
CN000003,P0170,E17,F003,Adjudicación Simplificada,Obra de rehabilitación vial,works,141004.21,2026-09-11,False,False
CND0102,P0089,E12,F050,Contratación Directa,Servicio de transporte,services,1432185.38,2026-09-13,True,False
CN000146,P0180,E09,F027,Comparación de Precios,Consultoría en ingeniería,services,246741.01,2026-09-29,False,False
CN000560,P0209,E08,F022,Comparación de Precios,Obra de rehabilitación vial,works,26352.28,2026-07-12,False,False
CN000100,P0113,E08,F020,Comparación de Precios,Suministro de combustible,goods,122179.06,2026-07-10,False,False
CN000113,P0034,E01,F017,Comparación de Precios,Adquisición de materiales de construcción,goods,95587.25,2026-08-23,False,False
CN000273,P0127,E03,F000,Comparación de Precios,Adquisición de bienes de oficina,goods,34956.24,2026-08-10,False,False
CN000613,P0200,E02,F044,Contratación Directa,Suministro de combustible,goods,140765.53,2026-08-19,False,False
CN000099,P0029,E16,F057,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,5037.1,2026-07-18,False,False
CN000155,P0026,E04,F030,Contratación Directa,Obra de rehabilitación vial,works,70063.69,2026-08-15,False,False
CN000204,P0055,E13,F058,Contratación Directa,Servicio de mantenimiento de infraestructura,services,106169.57,2026-07-31,False,False
CN000646,P0013,E09,F027,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,18792.47,2026-08-24,False,False
CN000636,P0030,E15,F035,Concurso Público,Adquisición de materiales de construcción,goods,66964.79,2026-09-06,False,False
CN000439,P0201,E17,F012,Comparación de Precios,Consultoría en ingeniería,services,64130.56,2026-07-25,False,False
CN000084,P0160,E14,F016,Contratación Directa,Suministro de combustible,goods,251436.71,2026-08-21,False,False
CN000673,P0016,E13,F055,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,108316.11,2026-08-13,False,False
CN000572,P0056,E12,F021,Comparación de Precios,Suministro de combustible,goods,12077.56,2026-08-14,False,False
