id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real
CN000697,P0004,E11,F054,Comparación de Precios,Servicio de limpieza y vigilancia,services,431945.75,2026-08-07,False,False
CN000015,P0160,E07,F036,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,25131.72,2026-07-02,False,False
CN000177,P0208,E00,F038,Adjudicación Simplificada,Consultoría en ingeniería,services,20842.39,2026-08-11,False,False
CN000486,P0060,E07,F036,Concurso Público,Consultoría en ingeniería,services,116291.34,2026-07-15,False,False
CN000245,P0065,E05,F037,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,61937.89,2026-08-15,False,False
CN000558,P0190,E15,F035,Licitación Pública,Obra de rehabilitación vial,works,93839.99,2026-08-25,False,False
CN000348,P0035,E14,F029,Comparación de Precios,Consultoría en ingeniería,services,47901.48,2026-08-24,False,False
CN000539,P0013,E10,F008,Comparación de Precios,Adquisición de bienes de oficina,goods,21326.03,2026-07-20,False,False
CN000528,P0167,E05,F059,Contratación Directa,Obra de rehabilitación vial,works,76300.52,2026-07-20,False,False
CN000474,P0178,E14,F016,Licitación Pública,Adquisición de equipos informáticos,goods,13664.94,2026-07-21,False,False
CN000003,P0059,E07,F036,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,24894.12,2026-09-02,False,False
CN000040,P0140,E14,F040,Adjudicación Simplificada,Suministro de combustible,goods,96848.45,2026-09-03,False,False
CN000119,P0152,E03,F000,Comparación de Precios,Adquisición de materiales de construcción,goods,44292.23,2026-07-18,False,False
CN000694,P0160,E02,F011,Licitación Pública,Suministro de combustible,goods,62334.07,2026-07-29,False,False
CN000362,P0124,E04,F053,Comparación de Precios,Adquisición de bienes de oficina,goods,33430.25,2026-09-04,False,False
CN000501,P0065,E07,F036,Comparación de Precios,Consultoría en ingeniería,services,29234.54,2026-08-23,False,False
CN000696,P0150,E14,F016,Licitación Pública,Adquisición de equipos informáticos,goods,215916.04,2026-07-29,False,False
CN000415,P0054,E12,F021,Contratación Directa,Servicio de mantenimiento de infraestructura,services,48976.67,2026-07-07,False,False
CN000455,P0157,E05,F001,Licitación Pública,Adquisición de materiales de construcción,goods,79753.97,2026-07-18,False,False
