id_pago,id_contrato,fecha_devengado,fecha_girado,fecha_pagado,monto_devengado,monto_pagado,estado,escenario_sintetico
PG00000001,C001783,2023-11-15,2023-11-18,2023-12-01,94925.8,94925.8,PAGADO,completo
PG00000002,C001929,2024-04-30,2024-05-09,2024-05-24,8324.04,17636.95,PAGADO,parcial
PG00000003,C001929,2024-05-05,2024-05-10,2024-05-19,15853.49,6540.58,PAGADO,parcial
PG00000004,C002917,2023-11-05,2023-11-15,2023-11-27,58059.0,42594.62,PAGADO,parcial
PG00000005,C002917,2023-12-05,2023-12-06,2023-12-08,5405.4,20869.78,PAGADO,parcial
PG00000006,C000787,2025-06-14,2025-06-21,2025-06-25,18960.03,18960.03,PAGADO,parcial
PG00000007,C000798,2023-02-16,2023-02-24,2023-03-09,36212.24,32048.7,PAGADO,completo
PG00000008,C000798,2023-03-06,2023-03-10,2023-03-21,47485.78,29516.23,PAGADO,completo
PG00000009,C000798,2023-03-08,2023-03-18,2023-03-22,13828.86,35961.95,PAGADO,completo
PG00000010,C001927,2025-11-01,2025-11-06,2025-11-21,21034.41,27044.4,PAGADO,completo
PG00000011,C001927,2025-11-25,2025-11-29,2025-12-14,11981.6,11074.97,PAGADO,completo
PG00000012,C001927,2025-12-06,2025-12-14,2025-12-27,12039.39,6936.03,PAGADO,completo
PG00000013,C003249,2024-12-15,2024-12-17,2024-12-25,45194.67,18055.37,PAGADO,parcial
PG00000014,C003249,2025-01-09,2025-01-16,2025-02-03,31898.84,59038.14,PAGADO,parcial
PG00000015,C000393,2026-05-07,2026-05-16,2026-06-05,111202.15,111202.15,PAGADO,completo
PG00000016,C003413,2024-02-13,2024-02-21,2024-04-24,171394.31,171394.31,PAGADO,demorado
PG00000017,C700079,2026-06-11,2026-06-13,2026-06-24,12013.87,29985.08,PAGADO,completo
PG00000018,C700079,2026-07-22,2026-07-31,2026-08-07,6099.79,15911.82,PAGADO,completo
PG00000019,C700079,2026-07-23,2026-08-02,2026-08-07,44071.99,16288.75,PAGADO,completo
PG00000020,C001866,2026-05-19,2026-05-20,2026-05-25,283767.67,450693.23,PAGADO,completo
PG00000021,C001866,2026-05-09,2026-05-18,2026-05-21,281791.06,114865.5,PAGADO,completo
PG00000022,C000354,2024-02-13,2024-02-13,2024-02-24,7757.55,23639.6,PAGADO,completo
PG00000023,C000354,2024-02-29,2024-02-29,2024-03-02,9339.99,15857.47,PAGADO,completo
PG00000024,C000354,2024-03-26,2024-03-31,2024-04-18,37575.67,15176.14,PAGADO,completo
PG00000025,C000256,2025-02-22,2025-02-22,2025-02-24,28021.29,31676.92,PAGADO,parcial
PG00000026,C000256,2025-02-16,2025-02-20,2025-02-22,8817.93,5162.3,PAGADO,parcial
PG00000027,C003341,2024-08-05,2024-08-12,,42687.0,0.0,PENDIENTE,pendiente
PG00000028,C002441,2023-04-08,2023-04-11,2023-04-25,98461.36,98461.36,PAGADO,sobrepago_senal
PG00000029,C003269,2026-07-17,2026-07-25,2026-08-07,159778.73,159778.73,PAGADO,parcial
PG00000030,C000179,2024-02-01,2024-02-08,2024-02-11,15294.65,15294.65,PAGADO,completo
PG00000031,C002019,2023-07-15,2023-07-25,2023-08-03,14560.06,6932.26,PAGADO,completo
PG00000032,C002019,2023-08-10,2023-08-18,2023-08-19,16999.11,26080.03,PAGADO,completo
PG00000033,C002019,2023-08-15,2023-08-18,2023-08-29,34663.74,33210.62,PAGADO,completo
PG00000034,C002669,2025-06-14,2025-06-24,2025-06-28,50337.12,62479.32,PAGADO,parcial
PG00000035,C002669,2025-07-02,2025-07-11,2025-07-29,27474.99,15332.79,PAGADO,parcial
PG00000036,C003045,2023-12-16,2023-12-18,2023-12-24,15252.48,37575.02,PAGADO,completo
