id_entidad,nombre_entidad,direccion,telefono,address_department
PE-CONSUCODE-10006,GOBIERNO REGIONAL DE LIMA - HOSPITAL HUACHO-HUAURA-OYON Y SERVICIOS  BASICOS  DE  SALUD,AVENIDA JOSE A. ARAMBULO LA ROSA Nº 221-251,988307618,LIMA
PE-CONSUCODE-10007,HOSPITAL NACIONAL DOCENTE MADRE NIÑO - SAN BARTOLOME,AV. ALFONSO UGARTE Nº 825 - LIMA,000000,LIMA
PE-CONSUCODE-1002,MUNICIPALIDAD PROVINCIAL DE PUERTO INCA,SANCHEZ CERRO 610,,HUANUCO
PE-CONSUCODE-200663,MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE PIURA,CALLE LIMA CON AYACUCHO SN,73-326711,PIURA
PE-CONSUCODE-201043,MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE,PROLONGACION AVENIDA GRAU MZ C LT 19 CONJUNTO HABITACIONAL MICAELA BASTIDAS,073354033,PIURA
PE-CONSUCODE-10045,GOBIERNO REGIONAL DE JUNIN - HOSPITAL DANIEL ALCIDES CARRION - HUANCAYO,AV. DANIEL A. CARRION 1552 HUANCAYO,236222,JUNIN
PE-CONSUCODE-10046,GOBIERNO REGIONAL DE LA LIBERTAD-INSTITUTO REGIONAL DE OFTALMOLOGIA,"MZ P´ LOTE 7A-NATASHA ALTA- URB,COVICORTI",044287222,LA LIBERTAD
PE-CONSUCODE-10137,DESPACHO PRESIDENCIAL,JR. DE LA UNION S/N PRIMERA CUADRA,3113900,LIMA
PE-CONSUCODE-10096,EMPRESA MUNICIPAL DE SERVICIO ELECTRICO DE TOCACHE S.A.,JR. BOLOGNESI Nº 290,,SAN MARTIN
PE-CONSUCODE-10141,COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,AV. BENAVIDES 2199-B,,LIMA
PE-CONSUCODE-10143,DIRECCION DE ECONOMIA Y FINANZAS DE LA POLICIA NACIONAL DEL PERU - PNP,JR. LOS CIBELES N° 191,980121298,LIMA
PE-CONSUCODE-10153,JEFATURA DE LA X DIRECCION TERRITORIAL POLICIAL - DIRTEPOL DEL CUSCO,PLAZA TUPAC AMARU S/N,980122645,CUSCO
PE-CONSUCODE-10167,UNIDAD DE GESTION EDUCATIVA LOCAL UGEL 02 - RIMAC,JR. ANTON SANCHEZ Nº 202 -SMP,014813682,LIMA
PE-CONSUCODE-10182,DIRECCION REGIONAL DE EDUCACION  DE  LIMA METROPOLITANA,JR. JULIAN ARCE  - URB. SANTA CATALINA 412 LIMA,,LIMA
PE-CONSUCODE-10189,PROGRAMA EDUCACION BASICA PARA TODOS UE 026,CALLE DEL COMERCIO,6155800,LIMA
PE-CONSUCODE-10194,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,AV. ANGAMOS ESTE 2520,,LIMA
PE-CONSUCODE-10196,INSTITUTO NACIONAL DE OFTALMOLOGIA,AV TINGO MARIA NRO 398,2029060,LIMA
PE-CONSUCODE-10195,INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS - INCN,JR. ANCASH 1271 LIMA,4117711,LIMA
PE-CONSUCODE-10198,INSTITUTO NACIONAL DE SALUD DEL NIÑO,BRASIL 600,4240217,LIMA
PE-CONSUCODE-10199,INSTITUTO NACIONAL MATERNO PERINATAL,JR. ANTONIO MIROQUESADA Nº 941 LIMA,3242983,LIMA
PE-CONSUCODE-10200,GOBIERNO REGIONAL DEL CALLAO - DIRECCION DE SALUD I CALLAO,COLINA  879 CALLAO,5755500,CALLAO
PE-CONSUCODE-10205,HOSPITAL HERMILIO VALDIZAN,CARRETERA  CENTRAL  KM 3.5 SANTA ANITA,000000,LIMA
PE-CONSUCODE-10206,GOBIERNO REGIONAL DE LIMA - DIRECCION DE SALUD III LIMA NORTE,CALLE JOSE ARAMBULO LA ROSA,2322574,LIMA
PE-CONSUCODE-10216,HOSPITAL SANTA ROSA,AV. BOLÍVAR CDRA.8 LIMA,6158229,LIMA
