id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real,escenario_sintetico
C001783,P0051,E09,F033,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,94925.8,2023-10-11,False,False,normal
C001929,P0076,E06,F039,Comparación de Precios,Suministro de combustible,goods,42388.63,2024-03-26,False,False,normal
C002917,P0144,E10,F008,Contratación Directa,Servicio de capacitación,services,109966.56,2023-10-21,False,False,normal
C000787,P0072,E02,F011,Adjudicación Simplificada,,works,24749.85,2025-05-05,False,False,normal
C000798,P0081,E11,F049,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,97526.88,2023-01-17,False,False,normal
C001927,P0213,E13,F055,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,45055.4,2025-09-29,False,False,normal
C003249,P0075,E05,F037,Contratación Directa,Adquisición de equipos informáticos,goods,127941.93,2024-11-07,False,False,normal
C000393,P0044,E16,F042,Licitación Pública,Adquisición de equipos informáticos,goods,111202.15,2026-04-01,False,False,normal
C003413,P0135,E17,F031,Comparación de Precios,Suministro de combustible,goods,171394.31,2024-02-04,False,False,normal
C700079,P0133,E04,F030,Licitación Pública,Obra de rehabilitación vial,works,,2026-05-31,False,False,hard_negative_concentracion_legitima
C001866,P0043,E00,F041,Comparación de Precios,Suministro de combustible,goods,565558.73,2026-04-04,False,False,normal
C000354,P0018,E13,F058,Contratación Directa,Servicio de capacitación,services,54673.21,2024-01-28,False,False,normal
C000256,P0041,E15,F035,Adjudicación Simplificada,Servicio de transporte,services,63163.48,2025-01-09,False,False,normal
C003341,P0203,E01,F048,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,67240.32,2024-07-17,False,False,normal
C002441,P0082,E12,F021,Comparación de Precios,Suministro de combustible,goods,91398.17,2023-02-24,False,False,normal
C003269,P0173,E11,F049,Licitación Pública,Obra de rehabilitación vial,works,179145.26,2026-06-16,False,False,normal
C000179,P0063,E09,F043,Licitación Pública,Adquisición de equipos informáticos,goods,15294.65,2023-12-25,False,False,normal
C002019,P0083,E17,F031,Licitación Pública,,goods,66222.91,2023-06-22,False,False,normal
C002669,P0000,E05,F001,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,96185.54,2025-06-03,False,False,normal
C003045,P0061,E12,F050,Concurso Público,Consultoría en ingeniería,services,68013.09,2023-11-20,False,False,normal
C001513,P0104,E12,F021,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,10279.24,2024-01-03,False,False,normal
C001694,P0064,E08,F005,Comparación de Precios,Obra de rehabilitación vial,works,58708.5,2023-11-30,False,False,normal
C001173,P0178,E00,F038,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,231189.02,2023-12-06,False,False,normal
C002245,P0094,E00,F041,Comparación de Precios,Obra de rehabilitación vial,works,123500.85,2025-11-22,False,False,normal
C002460,P0186,E03,F000,Concurso Público,Suministro de combustible,goods,43100.82,2025-02-04,False,False,normal
C001064,P0176,E09,F027,Comparación de Precios,Servicio de capacitación,services,46837.99,2025-01-29,False,False,normal
C700083,P0201,E16,F002,Concurso Público,Adquisición de materiales de construcción,goods,734441.49,2025-11-15,False,False,hard_negative_concentracion_legitima
C000912,P0155,E16,F042,Adjudicación Simplificada,Obra de rehabilitación vial,works,173081.66,2024-12-09,False,False,normal
C001564,P0078,E12,F021,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,50228.97,2023-03-27,False,False,normal
C002283,P0031,E10,F026,Contratación Directa,Adquisición de materiales de construcción,goods,,2023-09-04,False,False,normal
C002778,P0210,E13,F058,Contratación Directa,Adquisición de materiales de construcción,goods,68835.32,2024-06-22,False,False,normal
C001174,P0182,E01,F018,Comparación de Precios,Servicio de capacitación,services,50147.57,2023-09-18,False,False,normal
C000093,P0143,E09,F034,Comparación de Precios,Suministro de combustible,goods,76805.85,2026-05-22,False,False,normal
C000109,P0075,E11,F049,Comparación de Precios,Servicio de transporte,services,58831.76,2024-06-20,False,False,normal
C003190,P0074,E11,F049,Contratación Directa,Servicio de transporte,services,13529.04,2025-06-17,False,False,normal
C002478,P0001,E15,F035,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,117380.22,2024-09-14,False,False,normal
C003010,P0001,E03,F000,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,9172.35,2024-10-11,False,False,normal
C003390,P0045,E11,F007,Adjudicación Simplificada,Servicio de capacitación,services,13915.69,2026-02-21,False,False,normal
C000032,P0139,E17,F003,Comparación de Precios,Obra de rehabilitación vial,works,124339.96,2024-10-29,False,False,normal
C002384,P0170,E13,F056,Concurso Público,Consultoría en ingeniería,services,98193.29,2025-03-21,False,False,normal
C002227,P0197,E17,F003,Comparación de Precios,Adquisición de bienes de oficina,goods,17428.86,2026-02-04,False,False,normal
C000358,P0188,E12,F050,Comparación de Precios,Obra de rehabilitación vial,works,36616.44,2023-04-10,False,False,normal
C002867,P0188,E07,F036,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,16640.37,2025-05-06,False,False,normal
C003167,P0095,E05,F009,Adjudicación Simplificada,Servicio de capacitación,services,53499.82,2024-05-07,False,False,normal
C002942,P0065,E07,F013,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,53665.26,2026-06-11,False,False,normal
C000551,P0099,E13,F058,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,8832.74,2026-03-28,False,False,normal
C003361,P0111,E07,F013,Comparación de Precios,Servicio de transporte,services,61126.21,2023-10-26,False,False,normal
C003449,P0047,E05,F052,Licitación Pública,Obra de rehabilitación vial,works,25225.4,2025-05-21,False,False,normal
C000014,P0059,E09,F033,Comparación de Precios,Consultoría en ingeniería,services,375838.02,2026-05-08,False,False,normal
C002519,P0166,E04,F053,Adjudicación Simplificada,Consultoría en ingeniería,services,48248.51,2025-12-19,False,False,normal
C003074,P0111,E13,F056,Comparación de Precios,Adquisición de equipos informáticos,goods,45919.11,2024-07-02,False,False,normal
C001497,P0176,E07,F036,Comparación de Precios,Adquisición de bienes de oficina,goods,38654.82,2026-04-11,False,False,normal
C003072,P0192,E00,F038,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,62884.4,2023-05-11,False,False,normal
C000443,P0011,E13,F056,Adjudicación Simplificada,Servicio de capacitación,services,58219.88,2023-03-05,False,False,normal
C002129,P0027,E05,F037,Comparación de Precios,Servicio de limpieza y vigilancia,services,101728.14,2025-08-21,False,False,normal
C001849,P0209,E01,F017,Contratación Directa,Servicio de limpieza y vigilancia,services,106268.74,2026-02-12,False,False,normal
C001937,P0048,E12,F050,Comparación de Precios,Servicio de transporte,services,9554.5,2023-12-16,False,False,normal
C002057,P0213,E06,F006,Comparación de Precios,Adquisición de equipos informáticos,goods,20784.43,2025-08-12,False,False,normal
C002403,P0081,E12,F050,Concurso Público,Adquisición de equipos informáticos,goods,16697.2,2024-01-13,False,False,normal
C000734,P0174,E08,F028,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,21013.25,2025-10-09,False,False,normal
C002892,P0188,E13,F056,Comparación de Precios,Adquisición de equipos informáticos,goods,60446.24,2024-03-11,False,False,normal
C001071,P0112,E01,F017,Comparación de Precios,Adquisición de equipos informáticos,goods,35276.12,2023-05-17,False,False,normal
