id_pago,id_contrato,fecha_devengado,fecha_girado,fecha_pagado,monto_devengado,monto_pagado,estado,escenario_sintetico
PG00000001,C003230,2026-01-05,2026-01-08,2026-01-21,68651.05,68651.05,PAGADO,completo
PG00000002,C700229,2026-03-28,2026-04-06,2026-04-21,51608.08,109347.1,PAGADO,parcial
PG00000003,C700229,2026-04-02,2026-04-07,2026-04-16,98289.84,40550.82,PAGADO,parcial
PG00000004,C900069,2025-05-14,2025-05-24,2025-06-05,141710.13,103964.74,PAGADO,parcial
PG00000005,C900069,2025-06-13,2025-06-14,2025-06-16,13193.48,50938.87,PAGADO,parcial
PG00000006,C000305,2023-12-08,2023-12-15,2023-12-19,22440.82,22440.82,PAGADO,parcial
PG00000007,C001652,2023-07-30,2023-08-07,2023-08-20,5807.56,5139.82,PAGADO,completo
PG00000008,C001652,2023-08-17,2023-08-21,2023-09-01,7615.55,4733.68,PAGADO,completo
PG00000009,C001652,2023-08-19,2023-08-29,2023-09-02,2217.81,5767.42,PAGADO,completo
PG00000010,C800077,2024-08-19,2024-08-24,2024-09-08,515603.11,662922.23,PAGADO,completo
PG00000011,C800077,2024-09-12,2024-09-16,2024-10-01,293697.42,271473.62,PAGADO,completo
PG00000012,C800077,2024-09-23,2024-10-01,2024-10-14,295113.98,170018.66,PAGADO,completo
PG00000013,C001116,2024-08-30,2024-09-01,2024-09-09,16101.06,6432.41,PAGADO,parcial
PG00000014,C001116,2024-09-24,2024-10-01,2024-10-19,11364.29,21032.94,PAGADO,parcial
PG00000015,C000693,2023-03-26,2023-04-04,2023-04-24,121072.9,121072.9,PAGADO,completo
PG00000016,C002607,2025-02-18,2025-02-26,2025-04-30,47063.85,47063.85,PAGADO,demorado
PG00000017,C001650,2023-06-27,2023-06-29,2023-07-10,9840.99,24561.86,PAGADO,completo
PG00000018,C001650,2023-08-07,2023-08-16,2023-08-29,4996.56,13033.94,PAGADO,completo
PG00000019,C001650,2023-08-08,2023-08-18,2023-08-31,36100.95,13342.7,PAGADO,completo
PG00000020,C900271,2025-10-26,2025-10-27,2025-11-01,289228.86,459366.94,PAGADO,completo
PG00000021,C900271,2025-10-16,2025-10-25,2025-10-28,287214.19,117076.11,PAGADO,completo
PG00000022,C002550,2026-06-26,2026-06-26,2026-07-07,10133.28,30879.17,PAGADO,completo
PG00000023,C002550,2026-07-12,2026-07-12,2026-07-14,12200.34,20713.78,PAGADO,completo
PG00000024,C002550,2026-08-07,2026-08-07,2026-08-07,49083.13,19823.8,PAGADO,completo
PG00000025,C002313,2024-10-18,2024-10-18,2024-10-20,11170.73,12628.05,PAGADO,parcial
PG00000026,C002313,2024-10-12,2024-10-16,2024-10-18,3515.28,2057.96,PAGADO,parcial
PG00000027,C000070,2026-02-01,2026-02-08,,73954.59,0.0,PENDIENTE,pendiente
PG00000028,C002117,2025-12-01,2025-12-04,2025-12-18,24233.07,24233.07,PAGADO,sobrepago_senal
PG00000029,C000144,2024-11-25,2024-12-03,2024-12-20,28496.23,28496.23,PAGADO,parcial
PG00000030,C001800,2023-04-24,2023-05-01,2023-05-04,3304.38,3304.38,PAGADO,completo
PG00000031,C000744,2025-03-11,2025-03-21,2025-03-30,6862.87,3267.52,PAGADO,completo
PG00000032,C000744,2025-04-06,2025-04-14,2025-04-15,8012.52,12292.81,PAGADO,completo
PG00000033,C000744,2025-04-11,2025-04-14,2025-04-25,16338.73,15653.79,PAGADO,completo
PG00000034,C001593,2023-02-13,2023-02-23,2023-02-27,844346.21,1048017.39,PAGADO,parcial
PG00000035,C001593,2023-03-03,2023-03-12,2023-03-30,460860.77,257189.59,PAGADO,parcial
PG00000036,C000544,2025-01-24,2025-01-26,2025-02-01,20838.51,51336.4,PAGADO,completo
PG00000037,C000544,2025-01-25,2025-01-31,2025-02-04,45605.33,21632.5,PAGADO,completo
PG00000038,C000544,2025-02-20,2025-02-20,2025-03-02,26478.2,19953.14,PAGADO,completo
PG00000039,C002387,2023-06-04,2023-06-04,2023-06-14,35404.44,37247.11,PAGADO,completo
PG00000040,C002387,2023-06-15,2023-06-20,2023-07-04,18845.92,17003.25,PAGADO,completo
PG00000041,C002011,2024-10-27,2024-11-06,2024-11-20,36575.3,23995.49,PAGADO,completo
PG00000042,C002011,2024-10-19,2024-10-21,2024-11-03,6238.79,18818.6,PAGADO,completo
PG00000043,C000351,2026-03-25,2026-04-01,2026-04-07,13514.75,11815.69,PAGADO,completo
PG00000044,C000351,2026-04-27,2026-05-03,2026-05-17,12432.74,14375.12,PAGADO,completo
PG00000045,C000351,2026-04-24,2026-04-27,2026-04-27,9350.24,9106.92,PAGADO,completo
PG00000046,C001688,2024-08-13,2024-08-20,2024-09-07,53121.45,15494.21,PAGADO,completo
PG00000047,C001688,2024-08-26,2024-09-04,2024-09-14,63912.75,101539.99,PAGADO,completo
PG00000048,C003029,2023-12-05,2023-12-12,2023-12-28,10182.42,10182.42,PAGADO,completo
PG00000049,C002476,2024-03-10,2024-03-13,2024-03-20,113842.92,113842.92,PAGADO,completo
PG00000050,C002083,2023-10-21,2023-10-27,2023-11-07,70243.03,70243.03,PAGADO,completo
PG00000051,C000505,2023-03-18,2023-03-18,2023-03-31,31438.6,31438.6,PAGADO,completo
PG00000052,C000166,2025-04-10,2025-04-16,2025-04-18,6495.43,8101.73,PAGADO,completo
PG00000053,C000166,2025-04-05,2025-04-08,2025-04-27,3719.93,9221.0,PAGADO,completo
PG00000054,C000166,2025-05-07,2025-05-09,2025-05-20,10194.12,3086.75,PAGADO,completo
PG00000055,C001902,2023-01-24,2023-02-03,2023-02-13,23248.97,5270.75,PAGADO,completo
PG00000056,C001902,2023-03-09,2023-03-13,2023-03-29,7414.18,25392.4,PAGADO,completo
PG00000057,C001602,2024-05-22,2024-05-26,2024-06-14,67943.9,67943.9,PAGADO,sobrepago_senal
PG00000058,C003244,2023-11-07,2023-11-10,2023-11-11,50840.87,59896.15,PAGADO,completo
PG00000059,C003244,2023-11-24,2023-11-30,2023-12-04,29002.41,19947.13,PAGADO,completo
PG00000060,C001675,2025-05-29,2025-05-29,2025-06-14,45681.05,45681.05,PAGADO,completo
PG00000061,C001966,2023-02-18,2023-02-24,2023-03-01,7608.16,15008.24,PAGADO,completo
PG00000062,C001966,2023-03-12,2023-03-18,2023-03-21,24886.92,12962.77,PAGADO,completo
PG00000063,C001966,2023-04-21,2023-04-24,2023-04-27,3622.14,8146.21,PAGADO,completo
PG00000064,C003416,2025-06-23,2025-06-24,2025-07-10,10009.05,10009.05,PAGADO,parcial
PG00000065,C001556,2025-03-09,2025-03-17,2025-03-19,253786.95,253786.95,PAGADO,completo
PG00000066,C001407,2026-06-24,2026-07-04,2026-07-07,27146.82,24708.82,PAGADO,parcial
PG00000067,C001407,2026-08-07,2026-08-07,2026-08-07,687.51,3125.51,PAGADO,parcial
PG00000068,C000109,2024-07-17,2024-07-26,2024-08-01,58831.76,58831.76,PAGADO,completo
PG00000069,C000463,2025-11-20,2025-11-28,2025-12-07,41150.76,26336.73,PAGADO,completo
PG00000070,C000463,2025-11-27,2025-12-01,2025-12-03,6562.46,44333.58,PAGADO,completo
PG00000071,C000463,2025-12-12,2025-12-19,2025-12-28,27992.42,5035.33,PAGADO,completo
PG00000072,C700200,2025-03-01,2025-03-09,2025-03-16,15818.12,82313.44,PAGADO,completo
PG00000073,C700200,2025-04-04,2025-04-12,2025-04-18,127162.41,52119.84,PAGADO,completo
PG00000074,C700200,2025-05-04,2025-05-13,2025-05-28,109522.93,118070.18,PAGADO,completo
PG00000075,C900016,2025-02-05,2025-02-13,2025-02-22,202971.87,69590.54,PAGADO,completo
PG00000076,C900016,2025-02-25,2025-02-26,2025-03-14,44874.37,208942.03,PAGADO,completo
PG00000077,C900016,2025-03-28,2025-04-06,2025-04-20,49726.22,19039.89,PAGADO,completo
PG00000078,C001213,2025-10-12,2025-10-17,2025-12-27,3233.99,7749.07,PAGADO,demorado
PG00000079,C001213,2025-10-26,2025-11-01,2026-01-05,19110.7,14595.62,PAGADO,demorado
PG00000080,C700094,2025-01-29,2025-02-07,2025-02-08,199826.85,197884.4,PAGADO,completo
PG00000081,C700094,2025-01-28,2025-02-04,2025-02-21,104071.02,106013.47,PAGADO,completo
PG00000082,C002252,2026-04-19,2026-04-24,2026-05-13,3792.2,9271.48,PAGADO,completo
PG00000083,C002252,2026-05-03,2026-05-10,2026-05-23,14866.04,9386.76,PAGADO,completo
PG00000084,C003399,2024-04-21,2024-04-22,2024-05-06,12991.04,34738.87,PAGADO,completo
PG00000085,C003399,2024-05-16,2024-05-18,2024-05-23,29430.83,36596.48,PAGADO,completo
PG00000086,C003399,2024-06-15,2024-06-22,2024-07-03,48052.9,19139.42,PAGADO,completo
PG00000087,C001534,2026-06-22,2026-06-25,2026-06-29,10326.45,11495.78,PAGADO,completo
PG00000088,C001534,2026-07-01,2026-07-01,2026-07-10,1634.66,9270.61,PAGADO,completo
PG00000089,C001534,2026-08-07,2026-08-07,2026-08-07,12977.19,4171.91,PAGADO,completo
PG00000090,C700037,2024-07-13,2024-07-13,2024-07-18,411296.81,411296.81,PAGADO,parcial
PG00000091,C002649,2025-05-11,2025-05-19,2025-06-08,69146.82,69146.82,PAGADO,completo
PG00000092,C001509,2023-04-19,2023-04-23,2023-04-29,64864.44,87804.27,PAGADO,completo
PG00000093,C001509,2023-05-22,2023-05-28,2023-06-02,78545.54,62191.25,PAGADO,completo
PG00000094,C001509,2023-06-15,2023-06-23,2023-07-10,207549.25,200963.71,PAGADO,completo
PG00000095,C001618,2026-07-22,2026-07-24,2026-08-07,93779.77,85504.22,PAGADO,demorado
PG00000096,C001618,2026-08-07,2026-08-07,2026-08-07,54441.0,62716.55,PAGADO,demorado
PG00000097,C002344,2023-10-25,2023-10-27,2023-11-06,2013.42,4166.38,PAGADO,parcial
PG00000098,C002344,2023-11-17,2023-11-26,2023-12-02,4539.21,2386.25,PAGADO,parcial
PG00000099,C001515,2025-01-03,2025-01-11,,17690.19,0.0,PENDIENTE,pendiente
PG00000100,C002069,2023-12-28,2024-01-03,2024-01-05,73748.64,73748.64,PAGADO,completo
PG00000101,C000211,2023-03-12,2023-03-14,2023-06-10,11995.72,14318.23,PAGADO,demorado
PG00000102,C000211,2023-05-01,2023-05-10,2023-08-13,7987.78,5665.27,PAGADO,demorado
PG00000103,C001945,2024-11-08,2024-11-17,2024-12-03,27407.06,16009.79,PAGADO,completo
PG00000104,C001945,2024-12-01,2024-12-02,2024-12-17,15788.71,27185.98,PAGADO,completo
PG00000105,C002530,2024-07-01,2024-07-10,2024-07-22,20877.28,29235.51,PAGADO,completo
PG00000106,C002530,2024-07-27,2024-07-28,2024-08-12,41098.02,56892.14,PAGADO,completo
PG00000107,C002530,2024-08-07,2024-08-08,2024-08-10,33420.03,9267.68,PAGADO,completo
PG00000108,C002138,2025-03-12,2025-03-19,2025-04-08,28263.47,22720.88,PAGADO,completo
PG00000109,C002138,2025-04-08,2025-04-12,2025-04-12,40781.02,90088.08,PAGADO,completo
PG00000110,C002138,2025-05-22,2025-05-29,2025-06-05,85608.25,41843.78,PAGADO,completo
PG00000111,C002801,2024-12-11,2024-12-19,2024-12-23,29616.72,29616.72,PAGADO,completo
PG00000112,C003022,2025-01-05,2025-01-07,,2421.01,0.0,PENDIENTE,pendiente
PG00000113,C001837,2024-01-22,2024-01-26,2024-02-04,119286.14,131215.79,PAGADO,completo
PG00000114,C001837,2024-03-03,2024-03-03,2024-03-23,95992.4,84062.75,PAGADO,completo
PG00000115,C700071,2024-04-10,2024-04-12,2024-05-01,505914.32,505914.32,PAGADO,parcial
PG00000116,C002483,2023-05-29,2023-06-02,2023-06-07,61486.17,61486.17,PAGADO,completo
