id_proveedor,ruc,razon_social
P0000,20180325858,Proveedor 0000 SAC
P0001,20796560442,Proveedor 0001 SAC
P0002,20494990595,Proveedor 0002 SAC
P0003,20489713711,Proveedor 0003 SAC
P0004,20872738126,Proveedor 0004 SAC
P0005,20727631225,Proveedor 0005 SAC
P0006,20281322581,Proveedor 0006 SAC
P0007,20184759612,Proveedor 0007 SAC
P0008,20573831080,Proveedor 0008 SAC
P0009,20978060115,Proveedor 0009 SAC
P0010,20762177132,Proveedor 0010 SAC
P0011,20785025730,Proveedor 0011 SAC
P0012,20745729548,Proveedor 0012 SAC
P0013,20807457873,Proveedor 0013 SAC
P0014,20561903915,Proveedor 0014 SAC
P0015,20215302269,Proveedor 0015 SAC
P0016,20855773405,Proveedor 0016 SAC
P0017,20505347343,Proveedor 0017 SAC
P0018,20550316723,Proveedor 0018 SAC
P0019,20433718221,Proveedor 0019 SAC
P0020,20264294672,Proveedor 0020 SAC
P0021,20934088488,Proveedor 0021 SAC
P0022,20803410709,Proveedor 0022 SAC
P0023,20679478607,Proveedor 0023 SAC
P0024,20462172927,Proveedor 0024 SAC
P0025,20590886206,Proveedor 0025 SAC
P0026,20499072778,Proveedor 0026 SAC
P0027,20505413597,Proveedor 0027 SAC
P0028,20304514849,Proveedor 0028 SAC
P0029,20182922322,Proveedor 0029 SAC
P0030,20599126307,Proveedor 0030 SAC
P0031,20899100857,Proveedor 0031 SAC
P0032,20157435530,Proveedor 0032 SAC
P0033,20872462163,Proveedor 0033 SAC
P0034,20844868053,Proveedor 0034 SAC
P0035,20349083724,Proveedor 0035 SAC
P0036,20668497958,Proveedor 0036 SAC
P0037,20248706171,Proveedor 0037 SAC
P0038,20782278965,Proveedor 0038 SAC
P0039,20419073370,Proveedor 0039 SAC
P0040,20161128001,Proveedor 0040 SAC
P0041,20973628220,Proveedor 0041 SAC
P0042,20501118737,Proveedor 0042 SAC
P0043,20903809008,Proveedor 0043 SAC
P0044,20710127109,Proveedor 0044 SAC
P0045,20800545146,Proveedor 0045 SAC
P0046,20783909496,Proveedor 0046 SAC
P0047,20275174836,Proveedor 0047 SAC
P0048,20427515427,Proveedor 0048 SAC
P0049,20520048902,Proveedor 0049 SAC
P0050,20548012387,Proveedor 0050 SAC
P0051,20591912552,Proveedor 0051 SAC
P0052,20238860542,Proveedor 0052 SAC
P0053,20769038315,Proveedor 0053 SAC
P0054,20930275054,Proveedor 0054 SAC
P0055,20770285939,Proveedor 0055 SAC
P0056,20429978390,Proveedor 0056 SAC
P0057,20469765318,Proveedor 0057 SAC
P0058,20393242821,Proveedor 0058 SAC
P0059,20433413734,Proveedor 0059 SAC
P0060,20168708867,Proveedor 0060 SAC
P0061,20522600229,Proveedor 0061 SAC
P0062,20816111976,Proveedor 0062 SAC
P0063,20270524222,Proveedor 0063 SAC
P0064,20516646513,Proveedor 0064 SAC
P0065,20216929354,Proveedor 0065 SAC
P0066,20528134432,Proveedor 0066 SAC
P0067,20397176699,Proveedor 0067 SAC
P0068,20304218413,Proveedor 0068 SAC
P0069,20608049903,Proveedor 0069 SAC
P0070,20702832594,Proveedor 0070 SAC
P0071,20946275485,Proveedor 0071 SAC
P0072,20493436726,Proveedor 0072 SAC
P0073,20244619345,Proveedor 0073 SAC
P0074,20849410375,Proveedor 0074 SAC
P0075,20666787870,Proveedor 0075 SAC
P0076,20730238590,Proveedor 0076 SAC
P0077,20187503970,Proveedor 0077 SAC
P0078,20381129976,Proveedor 0078 SAC
P0079,20791059522,Proveedor 0079 SAC
P0080,20849033820,Proveedor 0080 SAC
P0081,20491695000,Proveedor 0081 SAC
P0082,20824287920,Proveedor 0082 SAC
P0083,20448730540,Proveedor 0083 SAC
P0084,20908278862,Proveedor 0084 SAC
P0085,20315602005,Proveedor 0085 SAC
P0086,20714245952,Proveedor 0086 SAC
P0087,20673085642,Proveedor 0087 SAC
P0088,20225777234,Proveedor 0088 SAC
P0089,20279917381,Proveedor 0089 SAC
P0090,20824409200,Proveedor 0090 SAC
P0091,20106626042,Proveedor 0091 SAC
P0092,20808231938,Proveedor 0092 SAC
P0093,20802327885,Proveedor 0093 SAC
P0094,20524410429,Proveedor 0094 SAC
P0095,20734648839,Proveedor 0095 SAC
P0096,20349409462,Proveedor 0096 SAC
P0097,20600082264,Proveedor 0097 SAC
P0098,20513024197,Proveedor 0098 SAC
P0099,20555045625,Proveedor 0099 SAC
P0100,20611867075,Proveedor 0100 SAC
P0101,20133536080,Proveedor 0101 SAC
P0102,20225817298,Proveedor 0102 SAC
P0103,20320933049,Proveedor 0103 SAC
P0104,20495652216,Proveedor 0104 SAC
P0105,20701562664,Proveedor 0105 SAC
P0106,20688985973,Proveedor 0106 SAC
P0107,20523986584,Proveedor 0107 SAC
P0108,20869572005,Proveedor 0108 SAC
P0109,20171277663,Proveedor 0109 SAC
P0110,20788498970,Proveedor 0110 SAC
P0111,20617140560,Proveedor 0111 SAC
P0112,20671246487,Proveedor 0112 SAC
P0113,20608835992,Proveedor 0113 SAC
P0114,20598221459,Proveedor 0114 SAC
P0115,20181509782,Proveedor 0115 SAC
P0116,20815421353,Proveedor 0116 SAC
P0117,20373555087,Proveedor 0117 SAC
P0118,20642554418,Proveedor 0118 SAC
P0119,20127736050,Proveedor 0119 SAC
P0120,20412749281,Proveedor 0120 SAC
P0121,20493045649,Proveedor 0121 SAC
P0122,20984464553,Proveedor 0122 SAC
P0123,20348893497,Proveedor 0123 SAC
P0124,20467675778,Proveedor 0124 SAC
P0125,20868062764,Proveedor 0125 SAC
P0126,20131223668,Proveedor 0126 SAC
P0127,20152472467,Proveedor 0127 SAC
P0128,20353245502,Proveedor 0128 SAC
P0129,20925886917,Proveedor 0129 SAC
P0130,20364234381,Proveedor 0130 SAC
P0131,20490885124,Proveedor 0131 SAC
P0132,20695724862,Proveedor 0132 SAC
P0133,20213652661,Proveedor 0133 SAC
P0134,20601328936,Proveedor 0134 SAC
P0135,20554513945,Proveedor 0135 SAC
P0136,20805508387,Proveedor 0136 SAC
P0137,20697882185,Proveedor 0137 SAC
P0138,20468267797,Proveedor 0138 SAC
P0139,20465748174,Proveedor 0139 SAC
P0140,20476162870,Proveedor 0140 SAC
P0141,20832618345,Proveedor 0141 SAC
P0142,20389094158,Proveedor 0142 SAC
P0143,20250275627,Proveedor 0143 SAC
P0144,20400862297,Proveedor 0144 SAC
P0145,20120440865,Proveedor 0145 SAC
P0146,20195528324,Proveedor 0146 SAC
P0147,20181043074,Proveedor 0147 SAC
P0148,20794397171,Proveedor 0148 SAC
P0149,20750123414,Proveedor 0149 SAC
P0150,20727093712,Proveedor 0150 SAC
P0151,20515689506,Proveedor 0151 SAC
P0152,20745352660,Proveedor 0152 SAC
P0153,20245144600,Proveedor 0153 SAC
P0154,20550940296,Proveedor 0154 SAC
P0155,20944246251,Proveedor 0155 SAC
P0156,20547597067,Proveedor 0156 SAC
P0157,20726688336,Proveedor 0157 SAC
P0158,20546063283,Proveedor 0158 SAC
P0159,20501540647,Proveedor 0159 SAC
P0160,20249592684,Proveedor 0160 SAC
P0161,20314889638,Proveedor 0161 SAC
P0162,20371360879,Proveedor 0162 SAC
P0163,20715330595,Proveedor 0163 SAC
P0164,20646476787,Proveedor 0164 SAC
P0165,20408331696,Proveedor 0165 SAC
P0166,20206205311,Proveedor 0166 SAC
P0167,20405049424,Proveedor 0167 SAC
P0168,20429637182,Proveedor 0168 SAC
P0169,20917722620,Proveedor 0169 SAC
P0170,20545559092,Proveedor 0170 SAC
P0171,20729736419,Proveedor 0171 SAC
P0172,20339282964,Proveedor 0172 SAC
P0173,20787806506,Proveedor 0173 SAC
P0174,20972258738,Proveedor 0174 SAC
P0175,20337172374,Proveedor 0175 SAC
P0176,20800875812,Proveedor 0176 SAC
P0177,20335026000,Proveedor 0177 SAC
P0178,20745201169,Proveedor 0178 SAC
P0179,20810105905,Proveedor 0179 SAC
P0180,20504425351,Proveedor 0180 SAC
P0181,20345017405,Proveedor 0181 SAC
P0182,20171328162,Proveedor 0182 SAC
P0183,20186751865,Proveedor 0183 SAC
P0184,20912342155,Proveedor 0184 SAC
P0185,20214819164,Proveedor 0185 SAC
P0186,20510198660,Proveedor 0186 SAC
P0187,20733628853,Proveedor 0187 SAC
P0188,20282127027,Proveedor 0188 SAC
P0189,20749454757,Proveedor 0189 SAC
P0190,20375360961,Proveedor 0190 SAC
P0191,20621297611,Proveedor 0191 SAC
P0192,20592216544,Proveedor 0192 SAC
P0193,20259095504,Proveedor 0193 SAC
P0194,20516885317,Proveedor 0194 SAC
P0195,20870952854,Proveedor 0195 SAC
P0196,20117571592,Proveedor 0196 SAC
P0197,20747516659,Proveedor 0197 SAC
P0198,20696968210,Proveedor 0198 SAC
P0199,20488883735,Proveedor 0199 SAC
P0200,20377800480,Proveedor 0200 SAC
P0201,20664577955,Proveedor 0201 SAC
P0202,20625688171,Proveedor 0202 SAC
P0203,20684861940,Proveedor 0203 SAC
P0204,20665870757,Proveedor 0204 SAC
P0205,20175999888,Proveedor 0205 SAC
P0206,20781739105,Proveedor 0206 SAC
P0207,20474226661,Proveedor 0207 SAC
P0208,20808197811,Proveedor 0208 SAC
P0209,20137452756,Proveedor 0209 SAC
P0210,20261510848,Proveedor 0210 SAC
P0211,20544591736,Proveedor 0211 SAC
P0212,20269402654,Proveedor 0212 SAC
P0213,20396875090,Proveedor 0213 SAC
P0214,20694539138,Proveedor 0214 SAC
P0215,20230071769,Proveedor 0215 SAC
P0216,20709932646,Proveedor 0216 SAC
P0217,20193062670,Proveedor 0217 SAC
P0218,20628880114,Proveedor 0218 SAC
P0219,20814134910,Proveedor 0219 SAC
