id_proveedor,id_entidad,n_contratos,pct_contratacion_directa,pct_comparacion_precios,score_riesgo_favoritismo,label
P0064,E00,14,0.35714285714285715,0.2857142857142857,0.9698459535922498,1
P0074,E06,13,0.6153846153846154,0.07692307692307693,0.8998674626700357,1
P0156,E02,24,0.4166666666666667,0.08333333333333333,0.8398717674483396,1
P0016,E07,9,0.3333333333333333,0.3333333333333333,0.8198545594442292,1
P0022,E00,11,0.6363636363636364,0.18181818181818182,0.8098459535922499,1
P0012,E01,9,0.4444444444444444,0.2222222222222222,0.7298502583705538,1
P0205,E17,15,0.0,0.06666666666666667,0.2198752123080492,0
P0062,E14,11,0.09090909090909091,0.0,0.17992331344068518,0
P0133,E04,9,0.0,0.1111111111111111,0.13990523352737147,0
P0180,E16,9,0.0,0.0,0.06993641899120301,0
P0165,E01,12,0.0,0.0,0.05994072006487843,0
P0054,E10,10,0.0,0.0,0.05994072006487843,0
P0143,E06,12,0.0,0.0,0.04995619994103941,0
P0145,E08,5,0.0,0.4,0.04993534845713661,0
P0178,E01,12,0.0,0.0,0.02998452012383901,0
P0201,E16,7,0.0,0.0,0.029947399168825505,0
P0026,E00,8,0.0,0.0,0.029947399168825505,0
P0025,E01,3,0.3333333333333333,0.3333333333333333,0.02,0
P0098,E11,8,0.0,0.0,0.01,0
P0073,E13,4,0.5,0.0,0.01,0
P0213,E05,4,0.5,0.25,0.01,0
P0219,E06,5,0.0,0.0,0.01,0
P0051,E09,2,0.0,0.0,0.0,0
P0173,E11,5,0.2,0.2,0.0,0
P0000,E05,2,0.0,0.0,0.0,0
P0061,E12,3,0.0,0.3333333333333333,0.0,0
P0064,E08,2,0.0,0.5,0.0,0
P0094,E00,2,0.0,0.5,0.0,0
P0155,E16,3,0.0,0.0,0.0,0
P0001,E15,4,0.0,0.25,0.0,0
P0065,E07,3,0.0,0.0,0.0,0
P0111,E07,3,0.3333333333333333,0.3333333333333333,0.0,0
P0166,E04,1,0.0,0.0,0.0,0
P0192,E00,3,0.0,0.6666666666666666,0.0,0
P0213,E06,1,0.0,1.0,0.0,0
P0081,E12,1,0.0,0.0,0.0,0
P0155,E05,2,0.0,0.0,0.0,0
P0052,E09,3,0.0,0.3333333333333333,0.0,0
P0079,E00,2,0.0,0.5,0.0,0
P0156,E06,4,0.25,0.25,0.0,0
