id_proveedor,id_entidad,objeto,objeto_familia,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real,score_anomalia,es_anomalia_modelo,senal_priorizacion_fraccionamiento
P0166,E03,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4,8442262.08,1.0,8442262.08,True,0.15279737202309474,True,True
P0042,E00,Rehabilitación de vía pública,works::rehabilitacion|via,5,5,8620839.04,1.0,8620839.04,True,0.15251675876918291,True,True
P0196,E14,Obra de rehabilitación vial,works::rehabilitacion|via,5,5,6493061.750000001,1.0,6493061.750000001,True,0.11523703361769677,True,True
P0179,E00,Rehabilitación de vía pública,works::rehabilitacion|via,4,4,4979075.13,1.0,4979075.13,True,0.0647081124831358,True,True
P0045,E11,Suministro de combustible,goods::combustible|suministro,4,1,507919.05,0.0,2312949.9200000004,False,0.06289446726552728,True,False
P0185,E08,Obra de rehabilitación de carretera,works::rehabilitacion|via,3,3,3398596.94,1.0,3398596.94,False,0.06017910953195904,True,True
P0065,E02,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4,4564229.58,1.0,4564229.58,False,0.050398167327503685,True,True
P0048,E12,Servicio de capacitación,services::capacitacion,7,6,1027544.03,1.0,1105950.56,True,0.03761814337023728,True,True
P0156,E04,Suministro de combustible,goods::combustible|suministro,12,3,812025.0700000001,0.8333333333333334,3900338.52,False,0.023763752782775538,True,True
P0177,E09,Adquisición de equipos informáticos,goods::equipo|informatico,8,2,722913.07,0.25,4913758.49,False,0.011642848001381156,True,False
P0215,E09,Obra de rehabilitación vial,works::rehabilitacion|via,12,2,979471.6,1.0,4293643.96,False,0.0031525290232665704,True,False
P0061,E05,Adquisición de materiales de construcción,goods::construccion|material,7,1,744960.97,0.2857142857142857,4319703.390000001,False,0.0016893626611281798,True,False
P0072,E12,Consultoría en ingeniería,services::consultoria|ingenieria,6,6,625329.5700000001,1.0,625329.5700000001,True,0.0010682905638201845,True,True
P0146,E11,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,11,1,61676.38,0.8181818181818182,2882699.77,False,0.0003588231276222542,True,False
P0186,E12,Servicio de capacitación,services::capacitacion,6,6,918900.12,1.0,918900.12,True,-0.0014352925104890168,False,True
P0202,E02,Servicio de transporte,services::transporte,6,6,854181.64,1.0,854181.64,True,-0.007891395839130122,False,True
P0067,E00,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,8,1,247382.89,0.375,4424125.05,False,-0.009111274731207097,False,False
P0053,E06,Suministro de combustible,goods::combustible|suministro,11,2,1069587.13,0.3636363636363636,5692502.25,False,-0.014921210015127584,False,False
P0153,E01,Adquisición de materiales de construcción,goods::construccion|material,11,2,837565.89,0.4545454545454545,5671749.000000001,False,-0.019125298612372887,False,False
P0126,E15,Adquisición de materiales de construcción,goods::construccion|material,6,2,1325019.24,0.3333333333333333,3051762.6500000004,False,-0.019432015794787816,False,False
P0011,E06,Suministro de combustible,goods::combustible|suministro,8,2,1493048.48,0.375,4376155.2,False,-0.02111899661093397,False,False
P0167,E05,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,5,2,1480818.82,0.6,2317372.6,False,-0.023914056692555308,False,False
P0019,E12,Adquisición de materiales de construcción,goods::construccion|material,6,1,862931.92,0.5,3058403.7,False,-0.033731582002090144,False,False
P0135,E00,Consultoría en ingeniería,services::consultoria|ingenieria,10,2,1626117.48,0.4,5132848.92,False,-0.034432840277900056,False,False
P0211,E05,Obra de rehabilitación vial,works::rehabilitacion|via,11,2,504148.26,1.0,3836176.48,False,-0.039862645398804464,False,False
P0211,E14,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,651447.31,0.5,665715.3600000001,False,-0.041062386340405266,False,False
P0084,E09,Consultoría en ingeniería,services::consultoria|ingenieria,6,5,620844.66,1.0,629928.05,False,-0.041463917192482325,False,True
P0178,E01,Servicio de capacitación,services::capacitacion,10,2,439149.1,0.6,4998323.71,False,-0.04235879408430665,False,False
P0099,E17,Adquisición de materiales de construcción,goods::construccion|material,9,1,838853.8,0.5555555555555556,4034189.71,False,-0.04283295751171745,False,False
P0054,E07,Servicio de capacitación,services::capacitacion,2,1,649735.39,0.5,698928.14,False,-0.042904373842152066,False,False
P0209,E01,Consultoría en ingeniería,services::consultoria|ingenieria,9,1,385656.13,0.4444444444444444,4371886.61,False,-0.0431292857243637,False,False
P0167,E05,Servicio de capacitación,services::capacitacion,11,2,365738.82,0.9090909090909092,3085400.7700000005,False,-0.04321580397222535,False,False
P0072,E01,Servicio de capacitación,services::capacitacion,9,1,68750.89,0.6666666666666666,3301202.71,False,-0.04361783576005773,False,False
P0063,E01,Adquisición de materiales de construcción,goods::construccion|material,10,1,493330.63,0.7,2721815.755,False,-0.043920925506404696,False,False
P0139,E07,Suministro de combustible,goods::combustible|suministro,10,2,1428933.84,0.4,5564146.649999999,False,-0.044007119272619355,False,False
P0097,E00,Servicio de transporte,services::transporte,3,3,1126843.1,1.0,1126843.1,True,-0.04415576453923575,False,True
P0034,E00,Servicio de capacitación,services::capacitacion,8,1,100149.27,0.875,2011689.5300000005,False,-0.044655344847298495,False,False
P0197,E14,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,6,2,1147174.17,0.5,3079267.0,False,-0.04673329785209035,False,False
P0149,E04,Adquisición de materiales de construcción,goods::construccion|material,8,2,997405.58,0.875,2470679.95,False,-0.04739557674616168,False,False
P0045,E11,Servicio de capacitación,services::capacitacion,3,1,456525.86,0.6666666666666666,845646.21,False,-0.04744249543293977,False,False
P0196,E06,Mantenimiento preventivo de infraestructura,services::infraestructura|mantenimiento,6,1,266957.05,0.5,2655539.01,False,-0.04750191178554186,False,False
P0077,E15,Adquisición de bienes de oficina,goods::bienes|oficina,7,2,142027.6,0.7142857142857143,1707686.56,False,-0.05155045960592042,False,False
P0130,E01,Adquisición de equipos informáticos,goods::equipo|informatico,5,2,881300.1900000001,0.6,2053781.2900000005,False,-0.05175613155345726,False,False
P0215,E15,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,526998.54,0.5,986802.07,False,-0.052572371023355324,False,False
P0029,E07,Obra de rehabilitación vial,works::rehabilitacion|via,8,1,331928.5,1.0,3018280.54,False,-0.05283128771969681,False,False
P0087,E09,Adquisición de materiales de construcción,goods::construccion|material,2,1,15084.69,0.5,722374.6799999999,False,-0.05321267368347116,False,False
P0131,E11,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,9,2,239094.48,0.5555555555555556,3106186.95,False,-0.05407760287948704,False,False
P0143,E11,Adquisición de equipos informáticos,goods::equipo|informatico,10,2,889192.18,0.3,4514506.98,False,-0.05430396054989528,False,False
P0052,E13,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,9,1,629297.13,0.4444444444444444,3609309.85,False,-0.054967606067821806,False,False
P0024,E17,Servicio de capacitación,services::capacitacion,9,2,1051143.93,0.7777777777777778,2682413.3200000003,False,-0.056022977968773646,False,False
P0108,E06,Obra de rehabilitación vial,works::rehabilitacion|via,6,1,77765.46,1.0,1613570.31,False,-0.05638310327268237,False,False
P0197,E04,Obra de rehabilitación vial,works::rehabilitacion|via,10,2,540490.02,1.0,3576314.21,False,-0.056722232778064874,False,False
P0030,E17,Consultoría en ingeniería,services::consultoria|ingenieria,5,5,964662.07,1.0,964662.07,True,-0.05689444178582426,False,True
