id_proveedor,id_entidad,objeto,objeto_familia,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,score_anomalia,senal_priorizacion_fraccionamiento,label
P0042,E00,Rehabilitación de vía pública,works::rehabilitacion|via,5,8620839.04,1.0,8.752364557100586,True,1
P0166,E03,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,8442262.08,1.0,8.423715347232232,True,1
P0196,E14,Obra de rehabilitación de carretera,works::rehabilitacion|via,5,6493061.750000001,1.0,6.501704494872492,True,1
P0179,E00,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4979075.13,1.0,4.8384014631289745,True,1
P0065,E02,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4564229.58,1.0,4.472197517249678,True,0
P0048,E12,Servicio de capacitación,services::capacitacion,6,1027544.03,1.0,3.8700214948556813,True,1
P0186,E12,Servicio de capacitación,services::capacitacion,6,918900.1199999999,1.0,3.7015031064245694,True,1
P0045,E11,Suministro de combustible,goods::combustible|suministro,1,507919.05,0.0,3.6878479743790074,False,0
P0202,E02,Servicio de transporte,services::transporte,6,854181.64,1.0,3.6855224430975366,True,1
P0072,E12,Consultoría en ingeniería,services::consultoria|ingenieria,6,625329.5700000001,1.0,3.641580834816068,True,1
P0185,E08,Rehabilitación de vía pública,works::rehabilitacion|via,3,3398596.94,1.0,3.501542991034129,True,0
P0084,E09,Consultoría en ingeniería,services::consultoria|ingenieria,5,620844.66,1.0,2.922296586374866,True,0
P0030,E17,Consultoría en ingeniería,services::consultoria|ingenieria,5,964662.0700000001,1.0,2.884217260653655,True,1
P0134,E13,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,5,873048.3700000001,1.0,2.8536270982827894,True,1
P0178,E07,Consultoría en ingeniería,services::consultoria|ingenieria,5,825321.63,1.0,2.839225052776325,True,1
P0189,E16,Suministro de combustible,goods::combustible|suministro,5,823456.86,1.0,2.8386840027196243,True,1
P0003,E00,Suministro de combustible,goods::combustible|suministro,5,766580.2799999999,1.0,2.8229728659612654,True,0
P0111,E12,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,5,698263.78,1.0,2.806151705821671,True,0
P0013,E13,Contratación de servicio de transporte,services::transporte,5,681700.87,1.0,2.802414774448341,True,1
P0110,E05,Adquisición de equipo informático,goods::equipo|informatico,5,680250.41,1.0,2.802093908863494,True,1
P0128,E17,Adquisición de equipo informático,goods::equipo|informatico,5,615819.7200000001,1.0,2.7888851778625092,True,0
P0190,E16,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,5,535078.76,1.0,2.7752464258126843,True,0
P0040,E06,Contratación de servicio de transporte,services::transporte,5,532783.35,1.0,2.7749065104602373,True,0
P0043,E13,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,5,506831.87,1.0,2.771248544170474,True,0
P0215,E15,Adquisición de equipos informáticos,goods::equipo|informatico,1,526998.54,0.5,2.436769183627032,False,0
P0054,E07,Servicio de capacitación,services::capacitacion,1,649735.39,0.5,2.4339494010254015,False,0
P0211,E14,Adquisición de equipos informáticos,goods::equipo|informatico,1,651447.31,0.5,2.4324737421656755,False,0
P0108,E06,Suministro de combustible,goods::combustible|suministro,1,379283.82,0.5,2.420838328160557,False,0
P0063,E16,Adquisición de equipos informáticos,goods::equipo|informatico,1,518462.89,0.5,2.4200557152164195,False,0
P0034,E00,Suministro de combustible,goods::combustible|suministro,1,366965.21,0.5,2.410849610380414,False,0
P0004,E01,Consultoría en ingeniería,services::consultoria|ingenieria,1,113639.35,0.5,2.4039322908806553,False,0
P0087,E09,Adquisición de materiales de construcción,goods::construccion|material,1,15084.69,0.5,2.4034512992648387,False,0
P0014,E14,Adquisición de bienes de oficina,goods::bienes|oficina,1,124429.23,0.5,2.402081429145976,False,0
P0215,E09,Obra de rehabilitación vial,works::rehabilitacion|via,2,979471.6000000001,1.0,2.2697526784412396,False,0
P0211,E05,Obra de rehabilitación vial,works::rehabilitacion|via,2,504148.26,1.0,2.1634968599750706,False,0
P0029,E07,Obra de rehabilitación vial,works::rehabilitacion|via,1,331928.5,1.0,2.1618436705115704,False,0
P0034,E00,Servicio de capacitación,services::capacitacion,1,100149.27,0.875,2.080718691664641,False,0
P0177,E09,Adquisición de equipos informáticos,goods::equipo|informatico,2,722913.07,0.25,2.0649313401755,False,0
P0185,E10,Suministro de combustible,goods::combustible|suministro,4,899845.9400000001,1.0,2.0519371874565087,True,1
P0053,E06,Suministro de combustible,goods::combustible|suministro,2,1069587.13,0.36363636363636365,2.039852546593748,False,0
P0219,E13,Mantenimiento preventivo de infraestructura,services::infraestructura|mantenimiento,4,857447.42,1.0,2.0332389369615567,True,1
P0169,E15,Servicio de capacitación,services::capacitacion,4,849346.5800000001,1.0,2.0297899756903397,True,1
P0107,E00,Servicio de capacitación,services::capacitacion,1,163609.44,0.6,2.015874118545357,False,0
P0197,E04,Obra de rehabilitación vial,works::rehabilitacion|via,2,540490.02,1.0,2.011219314275061,False,0
P0146,E11,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,1,61676.38,0.8181818181818182,2.008861882299805,False,0
