id_proveedor,id_funcionario,n_contratos,monto_total,comparte_telefono,comparte_direccion,vinculo_sospechoso
P0000,F000,2,98400.69,False,False,False
P0000,F010,1,110530.22,False,False,False
P0000,F018,1,66163.37,False,False,False
P0000,F022,1,115112.36,False,False,False
P0000,F023,1,131842.93,False,False,False
P0000,F032,1,96185.54,False,False,False
P0000,F035,11,2407293.7199999997,False,False,False
P0000,F036,1,16635.31,False,False,False
P0000,F054,1,189925.64,False,False,False
P0000,F056,1,133902.39,False,False,False
P0001,F001,1,41101.01,False,False,False
P0001,F003,1,784276.91,False,False,False
P0001,F008,1,24350.44,False,False,False
P0001,F012,1,0.0,False,False,False
P0001,F021,1,258526.94,False,False,False
P0001,F030,1,43190.54,False,False,False
P0001,F035,1,141863.28,False,False,False
P0001,F044,1,65163.92,False,False,False
P0001,F050,1,26935.33,False,False,False
P0001,F051,1,47050.97,False,False,False
P0001,F055,1,20426.33,False,False,False
P0001,F057,1,0.0,False,False,False
P0001,F058,2,73410.94,False,False,False
P0002,F002,1,118009.92,False,False,False
P0002,F004,1,49616.81,False,False,False
P0002,F016,3,221899.22,False,False,False
P0002,F030,1,147615.68,False,False,False
P0002,F031,1,43336.93,False,False,False
P0002,F034,1,0.0,False,False,False
P0002,F035,1,319451.02,False,False,False
P0002,F054,1,38467.63,False,False,False
P0003,F002,2,109053.32,False,False,False
P0003,F006,1,25585.99,False,False,False
P0003,F007,1,60323.66,False,False,False
P0003,F012,2,67503.44,False,False,False
P0003,F016,1,45897.28,False,False,False
P0003,F017,1,48270.38,False,False,False
P0003,F018,1,97603.49,False,False,False
P0003,F021,1,55937.88,False,False,False
P0003,F022,1,224338.2,False,False,False
P0003,F023,1,57673.14,False,False,False
P0003,F031,1,176461.18,False,False,False
P0003,F040,1,78083.08,False,False,False
P0003,F048,1,91016.08,False,False,False
P0003,F050,1,0.0,False,False,False
P0003,F053,1,353408.29,False,False,False
P0003,F057,1,54735.01,False,False,False
P0003,F058,1,36101.18,False,False,False
P0004,F005,1,27855.56,False,False,False
P0004,F006,2,44259.36,False,False,False
P0004,F011,1,28840.44,False,False,False
P0004,F016,1,28022.65,False,False,False
P0004,F017,2,767045.27,False,False,False
P0004,F021,1,78177.42,False,False,False
P0004,F024,1,12648.45,False,False,False
P0004,F026,1,88732.09,False,False,False
P0004,F031,1,49612.85,False,False,False
P0004,F035,2,108509.01,False,False,False
P0004,F039,1,218702.66,False,False,False
P0004,F043,2,245216.87,False,False,False
P0004,F048,1,15609.04,False,False,False
P0004,F053,1,19062.9,False,False,False
P0004,F056,1,62081.46,False,False,False
P0004,F057,1,188637.12,False,False,False
P0005,F000,1,301336.37,False,False,False
P0005,F001,1,108765.11,False,False,False
P0005,F006,1,24484.43,False,False,False
P0005,F007,1,114392.98,False,False,False
P0005,F010,1,123181.28,False,False,False
P0005,F012,1,449282.15,False,False,False
P0005,F013,1,63722.07,False,False,False
P0005,F017,1,20429.02,False,False,False
P0005,F018,1,80015.89,False,False,False
P0005,F019,1,1103772.76,False,False,False
P0005,F021,1,81459.87,False,False,False
P0005,F038,2,106935.42,False,False,False
P0005,F044,1,290312.08,False,False,False
P0005,F047,1,400528.52,False,False,False
P0005,F049,2,192027.96,False,False,False
P0005,F050,1,53994.54,False,False,False
P0005,F054,1,128044.49,False,False,False
P0005,F055,1,43606.89,False,False,False
P0006,F004,1,53312.86,False,False,False
P0006,F008,1,22170.42,False,False,False
P0006,F022,1,0.0,False,False,False
P0006,F023,1,28673.69,False,False,False
P0006,F030,1,125734.76,False,False,False
P0006,F031,1,83226.22,False,False,False
P0006,F032,1,87056.99,False,False,False
P0006,F035,1,35207.82,False,False,False
P0006,F041,1,81802.77,False,False,False
P0006,F049,1,110169.97,False,False,False
P0006,F050,1,254311.43,False,False,False
P0006,F053,1,26562.43,False,False,False
P0006,F054,1,402378.82,False,False,False
P0006,F057,1,50030.52,False,False,False
P0006,F058,1,89083.4,False,False,False
P0007,F003,1,112635.21,False,False,False
P0007,F007,1,9216.79,False,False,False
P0007,F013,1,29569.08,False,False,False
P0007,F018,1,21247.57,False,False,False
P0007,F022,1,129556.75,False,False,False
P0007,F026,1,14944.71,False,False,False
P0007,F034,1,337211.43,False,False,False
P0007,F035,1,282064.36,False,False,False
P0007,F036,1,19826.91,False,False,False
P0007,F043,2,370916.64999999997,False,False,False
P0007,F047,1,15947.59,False,False,False
P0008,F010,1,35938.31,False,False,False
P0008,F019,2,110118.05,False,False,False
P0008,F021,1,171552.47,False,False,False
P0008,F022,1,13385.94,False,False,False
P0008,F023,1,105894.74,False,False,False
P0008,F029,1,441735.19,False,False,False
P0008,F031,2,433081.06,False,False,False
P0008,F035,6,592293.19,False,False,False
P0008,F037,2,70674.66,False,False,False
P0008,F038,1,86137.33,False,False,False
P0008,F039,1,175554.64,False,False,False
