id_contrato,monto,modalidad,fecha_contrato,categoria_principal,objeto,n_pagos,monto_devengado_total,monto_pagado_total,fecha_primer_devengado,fecha_ultimo_pago,ratio_pagado_contrato,estado_pago_analitico
C003230,68651.05,Concurso Público,2025-12-01,goods,Adquisición de materiales de construcción,1,68651.05,68651.05,2026-01-05,2026-01-21,1.0,pagado_aproximadamente_completo
C700229,262804.7,Concurso Público,2026-02-21,services,Servicio de conservación preventiva de infraestructura,2,149897.91999999998,149897.92,2026-03-28,2026-04-21,0.5703776226224265,pago_parcial
C900069,268405.87,Comparación de Precios,2025-04-29,services,Servicio de limpieza y vigilancia,2,154903.61000000002,154903.61000000002,2025-05-14,2025-06-16,0.5771245241395057,pago_parcial
C000305,29293.57,Comparación de Precios,2023-10-29,services,Servicio de limpieza y vigilancia,1,22440.82,22440.82,2023-12-08,2023-12-19,0.7660664097957334,pago_parcial
C001652,15640.92,Licitación Pública,2023-06-30,goods,Suministro de combustible,3,15640.92,15640.92,2023-07-30,2023-09-02,1.0,pagado_aproximadamente_completo
C800077,1104414.51,Adjudicación Simplificada,2024-07-17,works,Obra de rehabilitación de carretera,3,1104414.51,1104414.51,2024-08-19,2024-10-14,1.0,pagado_aproximadamente_completo
C001116,45580.62,Adjudicación Simplificada,2024-07-23,services,Servicio de mantenimiento de infraestructura,2,27465.35,27465.35,2024-08-30,2024-10-19,0.6025663977365818,pago_parcial
C000693,121072.9,Contratación Directa,2023-02-18,services,Servicio de transporte,1,121072.9,121072.9,2023-03-26,2023-04-24,1.0,pagado_aproximadamente_completo
C002607,47063.85,Adjudicación Simplificada,2025-02-09,services,Servicio de transporte,1,47063.85,47063.85,2025-02-18,2025-04-30,1.0,pagado_aproximadamente_completo
C001650,50938.5,Comparación de Precios,2023-06-16,works,Obra de rehabilitación vial,3,50938.5,50938.5,2023-06-27,2023-08-31,1.0,pagado_aproximadamente_completo
C900271,576443.05,Contratación Directa,2025-09-11,goods,Adquisición de materiales de construcción,2,576443.05,576443.05,2025-10-16,2025-11-01,1.0,pagado_aproximadamente_completo
C002550,71416.75,Adjudicación Simplificada,2026-06-10,works,Obra de rehabilitación vial,3,71416.75,71416.75,2026-06-26,2026-08-07,1.0,pagado_aproximadamente_completo
C002313,25180.21,Comparación de Precios,2024-09-04,services,Servicio de mantenimiento de infraestructura,2,14686.01,14686.009999999998,2024-10-12,2024-10-20,0.5832362001746609,pago_parcial
C000070,116492.86,Licitación Pública,2026-01-13,services,Servicio de transporte,1,73954.59,0.0,2026-02-01,,0.0,pendiente_sin_pago
C002117,22494.7,Concurso Público,2025-10-19,goods,Adquisición de bienes de oficina,1,24233.07,24233.07,2025-12-01,2025-12-18,1.077279092408434,sobrepago_senal_revisar
C000144,31950.21,Adjudicación Simplificada,2024-10-25,goods,Adquisición de bienes de oficina,1,28496.23,28496.23,2024-11-25,2024-12-20,0.8918949202524804,pago_parcial
C001800,3304.38,Comparación de Precios,2023-03-17,goods,Adquisición de materiales de construcción,1,3304.38,3304.38,2023-04-24,2023-05-04,1.0,pagado_aproximadamente_completo
C000744,31214.12,Concurso Público,2025-02-16,services,Servicio de transporte,3,31214.12,31214.120000000003,2025-03-11,2025-04-25,1.0000000000000002,pagado_aproximadamente_completo
C001593,1613399.67,Concurso Público,2023-02-02,works,Obra de rehabilitación vial,2,1305206.98,1305206.98,2023-02-13,2023-03-30,0.8089793274843052,pago_parcial
C000544,92922.04,Adjudicación Simplificada,2024-12-29,services,Servicio de capacitación,3,92922.04,92922.04000000001,2025-01-24,2025-03-02,1.0000000000000002,pagado_aproximadamente_completo
