id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real,escenario_sintetico,monto_capped,monto_norm,modalidad_Adjudicación Simplificada,modalidad_Comparación de Precios,modalidad_Concurso Público,modalidad_Concurso Público Abreviado,modalidad_Contratación Directa,modalidad_Licitación Pública,modalidad_Licitación Pública Abreviada,es_contratacion_directa,es_comparacion_precios
C001783,P0051,E09,F033,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,94925.8,2023-10-11,False,False,normal,94925.8,-0.10363633789148331,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001929,P0076,E06,F039,Comparación de Precios,Suministro de combustible,goods,42388.63,2024-03-26,False,False,normal,42388.63,-0.5117639095225758,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002917,P0144,E10,F008,Contratación Directa,Servicio de capacitación,services,109966.56,2023-10-21,False,False,normal,109966.56,0.013205678042874553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C000787,P0072,E02,F011,Adjudicación Simplificada,Adquisición de materiales de construcción,works,61718.89,2025-05-05,False,False,normal,61718.89,-0.36159951976199983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000798,P0081,E11,F049,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,97526.88,2023-01-17,False,False,normal,97526.88,-0.08343021593976413,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001927,P0213,E13,F055,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,45055.4,2025-09-29,False,False,normal,45055.4,-0.4910474841003719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003249,P0075,E05,F037,Contratación Directa,Adquisición de equipos informáticos,goods,127941.93,2024-11-07,False,False,normal,127941.93,0.1528447965426032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C000393,P0044,E16,F042,Licitación Pública,Adquisición de equipos informáticos,goods,111202.15,2026-04-01,False,False,normal,111202.15,0.02280418413354636,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C003413,P0135,E17,F031,Comparación de Precios,Suministro de combustible,goods,171394.31,2024-02-04,False,False,normal,171394.31,0.4903984624707728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C700079,P0133,E04,F030,Licitación Pública,Obra de rehabilitación vial,works,58734.94,2026-05-31,False,False,hard_negative_concentracion_legitima,58734.94,-0.38477991313622606,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C001866,P0043,E00,F041,Comparación de Precios,Suministro de combustible,goods,565558.73,2026-04-04,False,False,normal,565558.73,3.552408988693978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000354,P0018,E13,F058,Contratación Directa,Servicio de capacitación,services,54673.21,2024-01-28,False,False,normal,54673.21,-0.4163328879447503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C000256,P0041,E15,F035,Adjudicación Simplificada,Servicio de transporte,services,63163.48,2025-01-09,False,False,normal,63163.48,-0.3503774267428562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003341,P0203,E01,F048,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,67240.32,2024-07-17,False,False,normal,67240.32,-0.31870707203725435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002441,P0082,E12,F021,Comparación de Precios,Suministro de combustible,goods,91398.17,2023-02-24,False,False,normal,91398.17,-0.1310402324201188,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003269,P0173,E11,F049,Licitación Pública,Obra de rehabilitación vial,works,179145.26,2026-06-16,False,False,normal,179145.26,0.5506106208594721,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C000179,P0063,E09,F043,Licitación Pública,Adquisición de equipos informáticos,goods,15294.65,2023-12-25,False,False,normal,15294.65,-0.7222396596100166,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C002019,P0083,E17,F031,Licitación Pública,Adquisición de materiales de construcción,goods,61718.89,2023-06-22,False,False,normal,61718.89,-0.36159951976199983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C002669,P0000,E05,F001,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,96185.54,2025-06-03,False,False,normal,96185.54,-0.09385022594280872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003045,P0061,E12,F050,Concurso Público,Consultoría en ingeniería,services,68013.09,2023-11-20,False,False,normal,68013.09,-0.3127039176319189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C001513,P0104,E12,F021,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,10279.24,2024-01-03,False,False,normal,10279.24,-0.761201162561818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001694,P0064,E08,F005,Comparación de Precios,Obra de rehabilitación vial,works,58708.5,2023-11-30,False,False,normal,58708.5,-0.3849853085352155,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001173,P0178,E00,F038,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,231189.02,2023-12-06,False,False,normal,231189.02,0.9549052067184245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002245,P0094,E00,F041,Comparación de Precios,Obra de rehabilitación vial,works,123500.85,2025-11-22,False,False,normal,123500.85,0.11834489493352515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002460,P0186,E03,F000,Concurso Público,Suministro de combustible,goods,43100.82,2025-02-04,False,False,normal,43100.82,-0.5062313622757418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C001064,P0176,E09,F027,Comparación de Precios,Servicio de capacitación,services,46837.99,2025-01-29,False,False,normal,46837.99,-0.4771996859050396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C700083,P0201,E16,F002,Concurso Público,Adquisición de materiales de construcción,goods,734441.49,2025-11-15,False,False,hard_negative_concentracion_legitima,714814.3156000002,4.711879887170328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C000912,P0155,E16,F042,Adjudicación Simplificada,Obra de rehabilitación vial,works,173081.66,2024-12-09,False,False,normal,173081.66,0.5035064022016666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C001564,P0078,E12,F021,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,50228.97,2023-03-27,False,False,normal,50228.97,-0.4508573375667183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002283,P0031,E10,F026,Contratación Directa,Adquisición de materiales de construcción,goods,67303.73000000001,2023-09-04,False,False,normal,67303.73000000001,-0.3182144804241711,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C002778,P0210,E13,F058,Contratación Directa,Adquisición de materiales de construcción,goods,68835.32,2024-06-22,False,False,normal,68835.32,-0.3063165402147067,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C001174,P0182,E01,F018,Comparación de Precios,Servicio de capacitación,services,50147.57,2023-09-18,False,False,normal,50147.57,-0.4514896819493862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000093,P0143,E09,F034,Comparación de Precios,Suministro de combustible,goods,76805.85,2026-05-22,False,False,normal,76805.85,-0.24439860566450597,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000109,P0075,E11,F049,Comparación de Precios,Servicio de transporte,services,58831.76,2024-06-20,False,False,normal,58831.76,-0.3840277806653426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003190,P0074,E11,F049,Contratación Directa,Servicio de transporte,services,13529.04,2025-06-17,False,False,normal,13529.04,-0.7359555510778586,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C002478,P0001,E15,F035,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,117380.22,2024-09-14,False,False,normal,117380.22,0.07079764678992671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003010,P0001,E03,F000,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,9172.35,2024-10-11,False,False,normal,9172.35,-0.7697998809123257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003390,P0045,E11,F007,Adjudicación Simplificada,Servicio de capacitación,services,13915.69,2026-02-21,False,False,normal,13915.69,-0.7329519152601859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000032,P0139,E17,F003,Comparación de Precios,Obra de rehabilitación vial,works,124339.96,2024-10-29,False,False,normal,124339.96,0.1248634022423765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002384,P0170,E13,F056,Concurso Público,Consultoría en ingeniería,services,98193.29,2025-03-21,False,False,normal,98193.29,-0.07825330414549216,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C002227,P0197,E17,F003,Comparación de Precios,Adquisición de bienes de oficina,goods,17428.86,2026-02-04,False,False,normal,17428.86,-0.7056603511955969,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000358,P0188,E12,F050,Comparación de Precios,Obra de rehabilitación vial,works,36616.44,2023-04-10,False,False,normal,36616.44,-0.556604350827147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002867,P0188,E07,F036,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,16640.37,2025-05-06,False,False,normal,16640.37,-0.7117856241967008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003167,P0095,E05,F009,Adjudicación Simplificada,Servicio de capacitación,services,53499.82,2024-05-07,False,False,normal,53499.82,-0.4254482021361354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002942,P0065,E07,F013,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,53665.26,2026-06-11,False,False,normal,53665.26,-0.42416300490433456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000551,P0099,E13,F058,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,8832.74,2026-03-28,False,False,normal,8832.74,-0.7724380931457145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003361,P0111,E07,F013,Comparación de Precios,Servicio de transporte,services,61126.21,2023-10-26,False,False,normal,61126.21,-0.36620367048337127,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003449,P0047,E05,F052,Licitación Pública,Obra de rehabilitación vial,works,25225.4,2025-05-21,False,False,normal,25225.4,-0.6450940333424526,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C000014,P0059,E09,F033,Comparación de Precios,Consultoría en ingeniería,services,375838.02,2026-05-08,False,False,normal,375838.02,2.078590496749576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002519,P0166,E04,F053,Adjudicación Simplificada,Consultoría en ingeniería,services,48248.51,2025-12-19,False,False,normal,48248.51,-0.4662422608603124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C003074,P0111,E13,F056,Comparación de Precios,Adquisición de equipos informáticos,goods,45919.11,2024-07-02,False,False,normal,45919.11,-0.48433787517218846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001497,P0176,E07,F036,Comparación de Precios,Adquisición de bienes de oficina,goods,38654.82,2026-04-11,False,False,normal,38654.82,-0.5407694842086864,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C003072,P0192,E00,F038,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,62884.4,2023-05-11,False,False,normal,62884.4,-0.3525454202356691,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C000443,P0011,E13,F056,Adjudicación Simplificada,Servicio de capacitación,services,58219.88,2023-03-05,False,False,normal,58219.88,-0.38878108387009525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002129,P0027,E05,F037,Comparación de Precios,Servicio de limpieza y vigilancia,services,101728.14,2025-08-21,False,False,normal,101728.14,-0.050793322068418544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001849,P0209,E01,F017,Contratación Directa,Servicio de limpieza y vigilancia,services,106268.74,2026-02-12,False,False,normal,106268.74,-0.015520313420481453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False
C001937,P0048,E12,F050,Comparación de Precios,Servicio de transporte,services,9554.5,2023-12-16,False,False,normal,9554.5,-0.7668312027079454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002057,P0213,E06,F006,Comparación de Precios,Adquisición de equipos informáticos,goods,20784.43,2025-08-12,False,False,normal,20784.43,-0.6795930804320948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002403,P0081,E12,F050,Concurso Público,Adquisición de equipos informáticos,goods,16697.2,2024-01-13,False,False,normal,16697.2,-0.7113441483826096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C000734,P0174,E08,F028,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,21013.25,2025-10-09,False,False,normal,21013.25,-0.677815524637966,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002892,P0188,E13,F056,Comparación de Precios,Adquisición de equipos informáticos,goods,60446.24,2024-03-11,False,False,normal,60446.24,-0.3714859212190313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C001071,P0112,E01,F017,Comparación de Precios,Adquisición de equipos informáticos,goods,35276.12,2023-05-17,False,False,normal,35276.12,-0.5670164371045119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C700089,P0054,E10,F026,Licitación Pública,Servicio de capacitación,services,81238.66,2025-04-01,False,False,hard_negative_concentracion_legitima,81238.66,-0.20996294838030088,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C002601,P0155,E05,F045,Adjudicación Simplificada,Obra de rehabilitación vial,works,20048.25,2025-10-01,False,False,normal,20048.25,-0.68531199059957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000761,P0013,E08,F014,Comparación de Precios,Servicio de transporte,services,14856.09,2023-12-01,False,False,normal,14856.09,-0.7256465509179141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True
C002665,P0052,E09,F043,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,1013803.0,2024-01-09,False,False,normal,714814.3156000002,4.711879887170328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002096,P0079,E00,F010,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,30927.87,2025-03-27,False,False,normal,30927.87,-0.6007952019931593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C002972,P0045,E01,F017,Licitación Pública,Servicio de transporte,services,334537.82,2025-07-30,False,False,normal,334537.82,1.7577557366382404,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C003254,P0108,E17,F012,Concurso Público,Adquisición de bienes de oficina,goods,48726.97,2025-08-08,False,False,normal,48726.97,-0.4625254120478885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
C001467,P0152,E08,F014,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,51962.72,2023-01-22,False,False,normal,51962.72,-0.4373889460009867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
C000017,P0033,E05,F037,Licitación Pública,Servicio de capacitación,services,45872.11,2023-05-28,False,False,normal,45872.11,-0.4847029880221319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False
C001558,P0209,E15,F035,Concurso Público,Servicio de transporte,services,38291.78,2026-06-19,False,False,normal,38291.78,-0.5435897090819515,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False
