id_proveedor,id_entidad,objeto,objeto_familia,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real
P0001,E11,Consultoría en ingeniería,services::consultoria|ingenieria,4,4,564326.71,1.0,564326.71,False
P0001,E17,Adquisición de material de construcción,goods::construccion|material,3,3,346054.74,1.0,346054.74,False
P0002,E03,Servicio de capacitación,services::capacitacion,9,1,591342.52,0.4444444444444444,4120310.29,False
P0003,E00,Suministro de combustible,goods::combustible|suministro,5,5,766580.2799999999,1.0,766580.2799999999,False
P0003,E13,Suministro de combustible,goods::combustible|suministro,3,3,551352.03,1.0,551352.03,False
P0004,E01,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,113639.35,0.5,825343.9,False
P0005,E17,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,13611.5,1.0,21951.120000000003,False
P0008,E17,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,49012.55,1.0,139487.32,False
P0010,E01,Consultoría en ingeniería,services::consultoria|ingenieria,8,2,711528.76,0.75,2680620.7199999997,False
P0011,E06,Suministro de combustible,goods::combustible|suministro,8,2,1493048.48,0.375,4376155.2,False
P0012,E15,Servicio de capacitación,services::capacitacion,3,1,31438.6,1.0,123526.19,False
P0013,E05,Servicio de transporte,services::transporte,2,1,71182.85,1.0,116308.42000000001,False
P0013,E13,Servicio de transporte,services::transporte,5,5,681700.87,1.0,681700.87,True
P0014,E01,Servicio de transporte,services::transporte,2,1,337289.75,1.0,351841.52,False
P0014,E12,Suministro de combustible,goods::combustible|suministro,2,1,104988.78,1.0,166701.58000000002,False
P0014,E14,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,124429.23,0.5,806912.77,False
P0014,E14,Servicio de capacitación,services::capacitacion,5,1,297736.05,0.6,2222666.49,False
P0016,E16,Adquisición de bienes de oficina,goods::bienes|oficina,3,3,275444.08,1.0,275444.08,False
P0017,E00,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,45384.72,1.0,204142.92,False
P0018,E01,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,6,2,414310.26,0.6666666666666666,2017573.9699999997,False
