id_proveedor,ruc,razon_social,telefono,direccion
P0000,20180325858,Proveedor 0000 SAC,995041445,"Av. Arequipa 917, Barranco"
P0001,20796560442,Proveedor 0001 SAC,966258591,"Jr. Las Begonias 470, Barranco"
P0002,20494990595,Proveedor 0002 SAC,971576193,"Av. La Marina 104, Jesús María"
P0003,20489713711,Proveedor 0003 SAC,990749241,"Av. Arequipa 768, Pueblo Libre"
P0004,20872738126,Proveedor 0004 SAC,962046320,"Jr. Cusco 222, Pueblo Libre"
P0005,20727631225,Proveedor 0005 SAC,979811711,"Calle Los Pinos 861, Pueblo Libre"
P0006,20281322581,Proveedor 0006 SAC,985028591,"Calle Las Camelias 112, Pueblo Libre"
P0007,20184759612,Proveedor 0007 SAC,930268646,"Jr. Cusco 536, Magdalena"
P0008,20573831080,Proveedor 0008 SAC,914997841,"Calle Las Camelias 561, San Isidro"
P0009,20978060115,Proveedor 0009 SAC,937014965,"Jr. Cusco 307, Surco"
P0010,20762177132,Proveedor 0010 SAC,935656032,"Jr. Las Begonias 278, Barranco"
P0011,20785025730,Proveedor 0011 SAC,988619809,"Av. La Marina 195, Miraflores"
P0012,20745729548,Proveedor 0012 SAC,992136086,"Calle Los Pinos 411, San Borja"
P0013,20807457873,Proveedor 0013 SAC,910473877,"Calle Las Camelias 879, Jesús María"
P0014,20561903915,Proveedor 0014 SAC,954980810,"Calle Las Camelias 405, Miraflores"
P0015,20215302269,Proveedor 0015 SAC,983910556,"Av. La Marina 180, Barranco"
P0016,20855773405,Proveedor 0016 SAC,921829664,"Jr. Las Begonias 499, Surco"
P0017,20505347343,Proveedor 0017 SAC,981736247,"Calle Las Camelias 242, Jesús María"
P0018,20550316723,Proveedor 0018 SAC,920717469,"Calle Las Camelias 568, Pueblo Libre"
P0019,20433718221,Proveedor 0019 SAC,952114145,"Calle Las Camelias 790, Magdalena"
P0020,20264294672,Proveedor 0020 SAC,983481863,"Av. Javier Prado 622, Pueblo Libre"
P0021,20934088488,Proveedor 0021 SAC,937272918,"Calle Los Pinos 950, Pueblo Libre"
P0022,20803410709,Proveedor 0022 SAC,940744308,"Av. La Marina 470, Magdalena"
P0023,20679478607,Proveedor 0023 SAC,935058304,"Calle Las Camelias 186, San Isidro"
P0024,20462172927,Proveedor 0024 SAC,974752381,"Jr. Las Begonias 486, Miraflores"
P0025,20590886206,Proveedor 0025 SAC,932938262,"Av. Javier Prado 586, Barranco"
P0026,20499072778,Proveedor 0026 SAC,999141378,"Jr. Cusco 325, Magdalena"
P0027,20505413597,Proveedor 0027 SAC,950056867,"Av. Arequipa 711, Lince"
P0028,20304514849,Proveedor 0028 SAC,953033399,"Av. La Marina 744, Miraflores"
P0029,20182922322,Proveedor 0029 SAC,955409342,"Jr. Cusco 928, Barranco"
P0030,20599126307,Proveedor 0030 SAC,962428863,"Av. La Marina 399, Lince"
P0031,20899100857,Proveedor 0031 SAC,959814761,"Calle Los Pinos 757, Surco"
P0032,20157435530,Proveedor 0032 SAC,955850256,"Jr. Las Begonias 145, La Molina"
P0033,20872462163,Proveedor 0033 SAC,999595024,"Jr. Las Begonias 369, Barranco"
P0034,20844868053,Proveedor 0034 SAC,982689737,"Av. Arequipa 855, Jesús María"
P0035,20349083724,Proveedor 0035 SAC,981339571,"Av. Los Álamos 771, Lince"
P0036,20668497958,Proveedor 0036 SAC,973024699,"Calle Las Camelias 530, Miraflores"
P0037,20248706171,Proveedor 0037 SAC,940692331,"Av. Javier Prado 510, Lince"
P0038,20782278965,Proveedor 0038 SAC,999006412,"Calle Los Pinos 375, Miraflores"
P0039,20419073370,Proveedor 0039 SAC,951960745,"Calle Las Camelias 778, La Molina"
P0040,20161128001,Proveedor 0040 SAC,929377782,"Jr. Las Begonias 664, La Molina"
P0041,20973628220,Proveedor 0041 SAC,986057861,"Jr. Cusco 181, Miraflores"
P0042,20501118737,Proveedor 0042 SAC,924419082,"Jr. Cusco 155, Lince"
P0043,20903809008,Proveedor 0043 SAC,987170432,"Calle Los Pinos 102, Magdalena"
P0044,20710127109,Proveedor 0044 SAC,965128563,"Jr. Cusco 832, Pueblo Libre"
P0045,20800545146,Proveedor 0045 SAC,920324209,"Jr. Cusco 856, Miraflores"
P0046,20783909496,Proveedor 0046 SAC,913954780,"Calle Las Camelias 921, Lince"
P0047,20275174836,Proveedor 0047 SAC,950028278,"Av. Arequipa 766, Pueblo Libre"
P0048,20427515427,Proveedor 0048 SAC,913211225,"Calle Las Camelias 570, Pueblo Libre"
P0049,20520048902,Proveedor 0049 SAC,922740178,"Calle Las Camelias 367, San Isidro"
P0050,20548012387,Proveedor 0050 SAC,956339993,"Jr. Las Begonias 127, La Molina"
P0051,20591912552,Proveedor 0051 SAC,997323819,"Av. Los Álamos 332, Surco"
P0052,20238860542,Proveedor 0052 SAC,951958541,"Jr. Cusco 323, Barranco"
P0053,20769038315,Proveedor 0053 SAC,982760162,"Jr. Las Begonias 973, Jesús María"
P0054,20930275054,Proveedor 0054 SAC,992545098,"Jr. Las Begonias 135, San Borja"
P0055,20770285939,Proveedor 0055 SAC,984111673,"Av. Javier Prado 198, Miraflores"
P0056,20429978390,Proveedor 0056 SAC,966630362,"Av. Los Álamos 709, San Isidro"
P0057,20469765318,Proveedor 0057 SAC,949725801,"Av. Los Álamos 509, San Borja"
P0058,20393242821,Proveedor 0058 SAC,956270587,"Av. Javier Prado 943, Pueblo Libre"
P0059,20433413734,Proveedor 0059 SAC,933964300,"Av. Javier Prado 677, Pueblo Libre"
P0060,20168708867,Proveedor 0060 SAC,954718608,"Calle Los Pinos 691, Surco"
P0061,20522600229,Proveedor 0061 SAC,944143860,"Av. Javier Prado 313, Miraflores"
P0062,20816111976,Proveedor 0062 SAC,932276342,"Av. Arequipa 616, San Borja"
P0063,20270524222,Proveedor 0063 SAC,999392642,"Av. Los Álamos 312, Pueblo Libre"
P0064,20516646513,Proveedor 0064 SAC,911061462,"Calle Los Pinos 963, Barranco"
P0065,20216929354,Proveedor 0065 SAC,918747325,"Av. Arequipa 114, San Isidro"
P0066,20528134432,Proveedor 0066 SAC,927316192,"Av. Javier Prado 404, Pueblo Libre"
P0067,20397176699,Proveedor 0067 SAC,997211636,"Av. La Marina 237, Miraflores"
P0068,20304218413,Proveedor 0068 SAC,972282890,"Av. La Marina 663, Miraflores"
P0069,20608049903,Proveedor 0069 SAC,989365912,"Av. Arequipa 372, San Borja"
P0070,20702832594,Proveedor 0070 SAC,928054604,"Jr. Cusco 875, La Molina"
P0071,20946275485,Proveedor 0071 SAC,974887866,"Av. Arequipa 374, Miraflores"
P0072,20493436726,Proveedor 0072 SAC,943258267,"Av. Arequipa 789, Magdalena"
P0073,20244619345,Proveedor 0073 SAC,954011301,"Calle Las Camelias 547, Miraflores"
P0074,20849410375,Proveedor 0074 SAC,910336081,"Av. Javier Prado 615, San Borja"
P0075,20666787870,Proveedor 0075 SAC,965578773,"Jr. Cusco 336, Lince"
P0076,20730238590,Proveedor 0076 SAC,984704294,"Av. Arequipa 186, La Molina"
P0077,20187503970,Proveedor 0077 SAC,969732042,"Jr. Cusco 146, Lince"
P0078,20381129976,Proveedor 0078 SAC,923901497,"Calle Las Camelias 840, Lince"
P0079,20791059522,Proveedor 0079 SAC,958042199,"Av. Arequipa 425, San Borja"
P0080,20849033820,Proveedor 0080 SAC,934083937,"Av. Los Álamos 749, San Borja"
P0081,20491695000,Proveedor 0081 SAC,996840608,"Av. Arequipa 518, Pueblo Libre"
P0082,20824287920,Proveedor 0082 SAC,989229892,"Jr. Las Begonias 245, San Borja"
P0083,20448730540,Proveedor 0083 SAC,926760877,"Av. Los Álamos 542, Lince"
P0084,20908278862,Proveedor 0084 SAC,947541945,"Jr. Cusco 292, Miraflores"
P0085,20315602005,Proveedor 0085 SAC,994577685,"Av. Javier Prado 669, Barranco"
P0086,20714245952,Proveedor 0086 SAC,986243521,"Calle Las Camelias 441, Miraflores"
P0087,20673085642,Proveedor 0087 SAC,973713053,"Av. La Marina 892, La Molina"
P0088,20225777234,Proveedor 0088 SAC,967574544,"Calle Las Camelias 690, Jesús María"
P0089,20279917381,Proveedor 0089 SAC,913790274,"Av. Los Álamos 631, San Borja"
P0090,20824409200,Proveedor 0090 SAC,976759384,"Av. Arequipa 220, Miraflores"
P0091,20106626042,Proveedor 0091 SAC,952616201,"Jr. Cusco 711, Pueblo Libre"
P0092,20808231938,Proveedor 0092 SAC,918234604,"Av. Javier Prado 438, San Borja"
P0093,20802327885,Proveedor 0093 SAC,932003645,"Av. La Marina 695, Jesús María"
P0094,20524410429,Proveedor 0094 SAC,958702943,"Av. La Marina 293, Magdalena"
P0095,20734648839,Proveedor 0095 SAC,975410841,"Jr. Las Begonias 287, San Borja"
P0096,20349409462,Proveedor 0096 SAC,955699500,"Av. Arequipa 511, Jesús María"
P0097,20600082264,Proveedor 0097 SAC,965165244,"Av. Los Álamos 409, Magdalena"
P0098,20513024197,Proveedor 0098 SAC,988420543,"Av. Arequipa 620, Pueblo Libre"
P0099,20555045625,Proveedor 0099 SAC,971741912,"Av. La Marina 247, San Isidro"
P0100,20611867075,Proveedor 0100 SAC,942513764,"Jr. Las Begonias 786, Barranco"
P0101,20133536080,Proveedor 0101 SAC,963836565,"Jr. Las Begonias 551, Miraflores"
P0102,20225817298,Proveedor 0102 SAC,919740452,"Av. Arequipa 217, Lince"
P0103,20320933049,Proveedor 0103 SAC,915332647,"Av. Los Álamos 763, Barranco"
P0104,20495652216,Proveedor 0104 SAC,969414094,"Jr. Cusco 342, Pueblo Libre"
P0105,20701562664,Proveedor 0105 SAC,944886861,"Av. La Marina 777, Pueblo Libre"
P0106,20688985973,Proveedor 0106 SAC,963849659,"Calle Los Pinos 657, Pueblo Libre"
P0107,20523986584,Proveedor 0107 SAC,939073270,"Jr. Las Begonias 117, La Molina"
P0108,20869572005,Proveedor 0108 SAC,930308619,"Jr. Las Begonias 894, Pueblo Libre"
