id_contrato,id_proveedor,id_entidad,monto,modalidad,razon_social,nombre_entidad
C003195,P0136,E11,106082.25,Comparación de Precios,Proveedor 0136 SAC,Entidad Pública 11
C002885,P0108,E15,447720.92,Comparación de Precios,Proveedor 0108 SAC,Entidad Pública 15
C002159,P0212,E15,418935.59,Adjudicación Simplificada,Proveedor 0212 SAC,Entidad Pública 15
C001395,P0062,E16,185606.99,Adjudicación Simplificada,Proveedor 0062 SAC,Entidad Pública 16
C900054,P0064,E00,273562.01,Adjudicación Simplificada,Proveedor 0064 SAC,Entidad Pública 00
C001210,P0139,E10,134158.85,Adjudicación Simplificada,Proveedor 0139 SAC,Entidad Pública 10
C001027,P0219,E05,132619.98,Adjudicación Simplificada,Proveedor 0219 SAC,Entidad Pública 05
C000697,P0191,E08,110811.44,Comparación de Precios,Proveedor 0191 SAC,Entidad Pública 08
C700020,P0143,E06,257856.0,Adjudicación Simplificada,Proveedor 0143 SAC,Entidad Pública 06
C001000,P0150,E02,303636.69,Adjudicación Simplificada,Proveedor 0150 SAC,Entidad Pública 02
C000307,P0195,E11,176112.63,Comparación de Precios,Proveedor 0195 SAC,Entidad Pública 11
C700051,P0165,E01,668851.87,Adjudicación Simplificada,Proveedor 0165 SAC,Entidad Pública 01
C800003,P0137,E00,217203.02,Concurso Público Abreviado,Proveedor 0137 SAC,Entidad Pública 00
C000674,P0203,E13,116823.28,Contratación Directa,Proveedor 0203 SAC,Entidad Pública 13
C001247,P0017,E00,158758.2,Comparación de Precios,Proveedor 0017 SAC,Entidad Pública 00
C003367,P0008,E09,356417.06,Contratación Directa,Proveedor 0008 SAC,Entidad Pública 09
C002648,P0219,E00,333176.44,Adjudicación Simplificada,Proveedor 0219 SAC,Entidad Pública 00
C900046,P0074,E06,101889.71,Contratación Directa,Proveedor 0074 SAC,Entidad Pública 06
C001928,P0173,E00,191359.01,Comparación de Precios,Proveedor 0173 SAC,Entidad Pública 00
C001046,P0131,E16,142400.3,Concurso Público,Proveedor 0131 SAC,Entidad Pública 16
C001605,P0096,E15,165323.97,Comparación de Precios,Proveedor 0096 SAC,Entidad Pública 15
C002397,P0068,E06,238576.89,Licitación Pública,Proveedor 0068 SAC,Entidad Pública 06
C001172,P0179,E17,271615.72,Contratación Directa,Proveedor 0179 SAC,Entidad Pública 17
C000038,P0158,E14,139606.63,Contratación Directa,Proveedor 0158 SAC,Entidad Pública 14
C002311,P0089,E02,185530.47,Concurso Público,Proveedor 0089 SAC,Entidad Pública 02
C000524,P0113,E11,368253.56,Licitación Pública,Proveedor 0113 SAC,Entidad Pública 11
C001346,P0185,E05,180086.49,Adjudicación Simplificada,Proveedor 0185 SAC,Entidad Pública 05
C800004,P0137,E00,187808.06,Concurso Público Abreviado,Proveedor 0137 SAC,Entidad Pública 00
C000877,P0160,E12,270687.32,Adjudicación Simplificada,Proveedor 0160 SAC,Entidad Pública 12
C001147,P0008,E07,245882.22,Adjudicación Simplificada,Proveedor 0008 SAC,Entidad Pública 07
C003272,P0001,E10,365978.32,Adjudicación Simplificada,Proveedor 0001 SAC,Entidad Pública 10
C001707,P0095,E16,116100.72,Comparación de Precios,Proveedor 0095 SAC,Entidad Pública 16
C900015,P0022,E00,340773.1,Contratación Directa,Proveedor 0022 SAC,Entidad Pública 00
C002842,P0190,E05,129094.44,Comparación de Precios,Proveedor 0190 SAC,Entidad Pública 05
C003003,P0144,E03,119562.2,Licitación Pública,Proveedor 0144 SAC,Entidad Pública 03
C002945,P0182,E15,657307.61,Comparación de Precios,Proveedor 0182 SAC,Entidad Pública 15
C900021,P0012,E01,417584.19,Contratación Directa,Proveedor 0012 SAC,Entidad Pública 01
C003269,P0173,E11,179145.26,Licitación Pública,Proveedor 0173 SAC,Entidad Pública 11
C001236,P0121,E13,167113.03,Contratación Directa,Proveedor 0121 SAC,Entidad Pública 13
C900041,P0074,E06,218967.97,Contratación Directa,Proveedor 0074 SAC,Entidad Pública 06
C001345,P0101,E02,114063.9,Adjudicación Simplificada,Proveedor 0101 SAC,Entidad Pública 02
C700044,P0165,E01,686455.87,Licitación Pública,Proveedor 0165 SAC,Entidad Pública 01
C001340,P0115,E04,252696.17,Adjudicación Simplificada,Proveedor 0115 SAC,Entidad Pública 04
C002661,P0122,E00,214657.11,Adjudicación Simplificada,Proveedor 0122 SAC,Entidad Pública 00
C002597,P0018,E11,216473.54,Adjudicación Simplificada,Proveedor 0018 SAC,Entidad Pública 11
C000183,P0115,E11,124939.27,Concurso Público,Proveedor 0115 SAC,Entidad Pública 11
C003398,P0145,E14,156585.61,Comparación de Precios,Proveedor 0145 SAC,Entidad Pública 14
C002638,P0142,E12,383512.45,Adjudicación Simplificada,Proveedor 0142 SAC,Entidad Pública 12
C000078,P0176,E03,243731.23,Licitación Pública,Proveedor 0176 SAC,Entidad Pública 03
C001036,P0098,E06,106441.13,Contratación Directa,Proveedor 0098 SAC,Entidad Pública 06
C003114,P0199,E04,166323.14,Comparación de Precios,Proveedor 0199 SAC,Entidad Pública 04
C002078,P0158,E05,246785.2,Comparación de Precios,Proveedor 0158 SAC,Entidad Pública 05
C000589,P0214,E15,145674.12,Comparación de Precios,Proveedor 0214 SAC,Entidad Pública 15
C003374,P0004,E03,254985.84,Adjudicación Simplificada,Proveedor 0004 SAC,Entidad Pública 03
C003159,P0058,E08,371601.06,Adjudicación Simplificada,Proveedor 0058 SAC,Entidad Pública 08
C002906,P0050,E08,401699.79,Concurso Público,Proveedor 0050 SAC,Entidad Pública 08
C002013,P0165,E17,310432.76,Comparación de Precios,Proveedor 0165 SAC,Entidad Pública 17
C002413,P0004,E07,101150.84,Comparación de Precios,Proveedor 0004 SAC,Entidad Pública 07
C001273,P0120,E02,185779.53,Concurso Público,Proveedor 0120 SAC,Entidad Pública 02
C900017,P0022,E00,436897.85,Contratación Directa,Proveedor 0022 SAC,Entidad Pública 00
C700004,P0178,E01,366534.54,Adjudicación Simplificada,Proveedor 0178 SAC,Entidad Pública 01
C000799,P0036,E16,430852.65,Adjudicación Simplificada,Proveedor 0036 SAC,Entidad Pública 16
C003027,P0077,E15,100399.93,Adjudicación Simplificada,Proveedor 0077 SAC,Entidad Pública 15
C900044,P0074,E06,127446.33,Adjudicación Simplificada,Proveedor 0074 SAC,Entidad Pública 06
C700063,P0205,E17,468536.37,Concurso Público,Proveedor 0205 SAC,Entidad Pública 17
C001976,P0066,E14,101862.93,Comparación de Precios,Proveedor 0066 SAC,Entidad Pública 14
C900029,P0156,E02,463532.52,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 02
C001984,P0140,E16,260556.17,Adjudicación Simplificada,Proveedor 0140 SAC,Entidad Pública 16
C001574,P0042,E05,427041.09,Adjudicación Simplificada,Proveedor 0042 SAC,Entidad Pública 05
C003193,P0069,E16,188492.41,Contratación Directa,Proveedor 0069 SAC,Entidad Pública 16
C700105,P0098,E11,333527.03,Adjudicación Simplificada,Proveedor 0098 SAC,Entidad Pública 11
C003150,P0016,E03,239160.58,Contratación Directa,Proveedor 0016 SAC,Entidad Pública 03
C000090,P0156,E09,208553.31,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 09
C700011,P0143,E06,106227.86,Adjudicación Simplificada,Proveedor 0143 SAC,Entidad Pública 06
C000977,P0087,E09,707289.99,Comparación de Precios,Proveedor 0087 SAC,Entidad Pública 09
C700052,P0165,E01,427372.27,Adjudicación Simplificada,Proveedor 0165 SAC,Entidad Pública 01
C002811,P0188,E11,435694.01,Licitación Pública,Proveedor 0188 SAC,Entidad Pública 11
C002191,P0151,E07,123406.56,Comparación de Precios,Proveedor 0151 SAC,Entidad Pública 07
C002237,P0082,E05,132652.64,Licitación Pública,Proveedor 0082 SAC,Entidad Pública 05
C002613,P0083,E07,240228.33,Adjudicación Simplificada,Proveedor 0083 SAC,Entidad Pública 07
C001363,P0153,E07,146078.23,Adjudicación Simplificada,Proveedor 0153 SAC,Entidad Pública 07
C700005,P0178,E01,873586.2,Licitación Pública,Proveedor 0178 SAC,Entidad Pública 01
C002700,P0103,E09,112865.59,Adjudicación Simplificada,Proveedor 0103 SAC,Entidad Pública 09
C000070,P0084,E09,116492.86,Licitación Pública,Proveedor 0084 SAC,Entidad Pública 09
C000605,P0161,E09,158023.33,Comparación de Precios,Proveedor 0161 SAC,Entidad Pública 09
C700076,P0133,E04,807416.94,Licitación Pública,Proveedor 0133 SAC,Entidad Pública 04
C700100,P0026,E00,145650.84,Adjudicación Simplificada,Proveedor 0026 SAC,Entidad Pública 00
C001537,P0031,E01,161793.02,Adjudicación Simplificada,Proveedor 0031 SAC,Entidad Pública 01
C000168,P0187,E12,101662.46,Adjudicación Simplificada,Proveedor 0187 SAC,Entidad Pública 12
C002236,P0145,E04,192765.79,Contratación Directa,Proveedor 0145 SAC,Entidad Pública 04
C002529,P0210,E09,523092.96,Concurso Público,Proveedor 0210 SAC,Entidad Pública 09
C003426,P0032,E01,114583.82,Adjudicación Simplificada,Proveedor 0032 SAC,Entidad Pública 01
C002991,P0012,E05,103765.88,Comparación de Precios,Proveedor 0012 SAC,Entidad Pública 05
C001397,P0141,E09,125945.81,Adjudicación Simplificada,Proveedor 0141 SAC,Entidad Pública 09
C001264,P0021,E09,188074.48,Adjudicación Simplificada,Proveedor 0021 SAC,Entidad Pública 09
C900026,P0156,E02,107048.71,Comparación de Precios,Proveedor 0156 SAC,Entidad Pública 02
C900033,P0156,E02,264290.99,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 02
C900039,P0156,E02,383617.12,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 02
C000099,P0170,E12,122249.6,Comparación de Precios,Proveedor 0170 SAC,Entidad Pública 12
C000205,P0033,E03,993720.1,Adjudicación Simplificada,Proveedor 0033 SAC,Entidad Pública 03
C000590,P0182,E04,345465.32,Comparación de Precios,Proveedor 0182 SAC,Entidad Pública 04
C700057,P0205,E17,140772.71,Licitación Pública,Proveedor 0205 SAC,Entidad Pública 17
C002509,P0094,E12,316457.06,Contratación Directa,Proveedor 0094 SAC,Entidad Pública 12
C003328,P0180,E14,131699.58,Licitación Pública,Proveedor 0180 SAC,Entidad Pública 14
C002829,P0184,E11,332260.39,Concurso Público,Proveedor 0184 SAC,Entidad Pública 11
C000826,P0078,E14,123278.55,Comparación de Precios,Proveedor 0078 SAC,Entidad Pública 14
C000390,P0114,E11,166793.65,Comparación de Precios,Proveedor 0114 SAC,Entidad Pública 11
C002007,P0063,E02,189536.52,Adjudicación Simplificada,Proveedor 0063 SAC,Entidad Pública 02
C001828,P0094,E08,533230.02,Adjudicación Simplificada,Proveedor 0094 SAC,Entidad Pública 08
C001458,P0094,E10,171792.32,Concurso Público,Proveedor 0094 SAC,Entidad Pública 10
C002955,P0174,E17,580396.02,Comparación de Precios,Proveedor 0174 SAC,Entidad Pública 17
C003164,P0212,E14,638980.48,Concurso Público,Proveedor 0212 SAC,Entidad Pública 14
C000850,P0102,E03,358935.71,Comparación de Precios,Proveedor 0102 SAC,Entidad Pública 03
C002141,P0053,E01,629268.87,Licitación Pública,Proveedor 0053 SAC,Entidad Pública 01
C003120,P0063,E16,288576.87,Comparación de Precios,Proveedor 0063 SAC,Entidad Pública 16
C700015,P0143,E06,229302.89,Licitación Pública,Proveedor 0143 SAC,Entidad Pública 06
C900003,P0016,E07,140317.33,Comparación de Precios,Proveedor 0016 SAC,Entidad Pública 07
C001306,P0029,E16,283102.6,Comparación de Precios,Proveedor 0029 SAC,Entidad Pública 16
C000393,P0044,E16,111202.15,Licitación Pública,Proveedor 0044 SAC,Entidad Pública 16
C001866,P0043,E00,565558.73,Comparación de Precios,Proveedor 0043 SAC,Entidad Pública 00
C800022,P0204,E05,131554.32,Concurso Público Abreviado,Proveedor 0204 SAC,Entidad Pública 05
