id_proveedor,id_entidad,n_contratos,monto_total,monto_promedio,n_objetos_unicos,pct_contratacion_directa,pct_comparacion_precios,n_funcionarios_distintos,label_favoritismo_real,dias_actividad,concentracion_objeto,contratos_por_mes,monto_por_funcionario,score_riesgo_favoritismo
P0064,E00,14,3667004.06,261928.86142857143,3,0.3571428571428571,0.2857142857142857,2,True,801,0.7857142857142857,0.5243445692883896,1833502.03,0.9597187085603739
P0074,E06,13,3699623.88,284586.4523076923,2,0.6153846153846154,0.0769230769230769,2,True,861,0.8461538461538461,0.4529616724738676,1849811.94,0.9497187085603737
P0016,E07,9,2674472.89,297163.65444444446,2,0.3333333333333333,0.3333333333333333,2,True,747,0.7777777777777778,0.3614457831325301,1337236.445,0.8993795403605742
P0156,E02,24,9506324.19,396096.84125,3,0.4166666666666667,0.0833333333333333,4,True,753,0.875,0.9561752988047808,2376581.0475,0.7797380952040487
P0012,E01,9,1804317.12,200479.68,2,0.4444444444444444,0.2222222222222222,3,True,477,0.7777777777777778,0.5660377358490566,601439.04,0.7397392018311534
P0022,E00,11,3180022.57,289092.9609090909,4,0.6363636363636364,0.1818181818181818,3,True,868,0.6363636363636364,0.380184331797235,1060007.5233333332,0.7096434917383178
P0143,E06,12,4966240.7,413853.39166666666,2,0.0,0.0,2,False,822,0.8333333333333334,0.437956204379562,2483120.35,0.1695797086170713
P0062,E14,11,3783475.9,343952.3545454545,3,0.0909090909090909,0.0,3,False,973,0.7272727272727273,0.3391572456320658,1261158.6333333333,0.14978254602136196
P0205,E17,15,4705622.74,313708.1826666667,6,0.0,0.0666666666666666,3,False,1010,0.6,0.4455445544554455,1568540.913333333,0.13990194226841277
P0133,E04,9,2177326.27,241925.14111111112,4,0.0,0.1111111111111111,3,False,808,0.5555555555555556,0.3341584158415842,725775.4233333333,0.13984607339011973
P0054,E10,10,4593213.88,459321.388,2,0.0,0.0,3,False,747,0.8,0.4016064257028112,1531071.2933333332,0.13953999392228175
P0180,E16,9,4551262.29,505695.81,2,0.0,0.0,4,False,657,0.7777777777777778,0.4109589041095891,1137815.5725,0.11955417566470082
P0165,E01,12,6353057.56,529421.4633333333,3,0.0,0.0,3,False,807,0.75,0.446096654275093,2117685.853333333,0.08977686033179985
P0219,E06,5,867573.72,173514.744,1,0.0,0.0,2,False,4,0.8,37.5,433786.86,0.04
P0046,E10,2,964693.17,482346.585,2,0.5,0.0,1,False,651,0.0,0.0921658986175115,964693.17,0.03997935483458281
P0204,E05,5,821193.87,164238.774,1,0.0,0.0,4,False,8,0.8,18.75,205298.4675,0.03
P0145,E08,5,1864984.97,372996.994,4,0.0,0.4,3,False,939,0.1999999999999999,0.1597444089456869,621661.6566666666,0.029947336904652674
P0178,E01,12,5696448.34,474704.0283333333,3,0.0,0.0,3,False,1154,0.75,0.3119584055459272,1898816.1133333333,0.02984616263504333
P0025,E01,3,438082.13,146027.37666666668,1,0.3333333333333333,0.3333333333333333,2,False,271,0.6666666666666667,0.3321033210332103,219041.065,0.02
P0158,E16,1,1467310.82,1467310.82,1,1.0,0.0,1,False,1,0.0,30.0,1467310.82,0.01999354422207876
P0060,E00,2,1540319.6,770159.8,2,0.0,0.5,2,False,658,0.0,0.0911854103343465,770159.8,0.019963460735674926
P0022,E08,2,1548396.97,774198.485,2,0.5,0.5,2,False,233,0.0,0.2575107296137339,774198.485,0.019963460735674926
P0098,E11,8,4365668.15,545708.51875,2,0.0,0.0,3,False,857,0.75,0.2800466744457409,1455222.7166666668,0.019960431639297303
P0017,E17,1,1030231.81,1030231.81,1,1.0,0.0,1,False,1,0.0,30.0,1030231.81,0.01
P0161,E05,2,748493.87,374246.935,2,0.5,0.0,1,False,464,0.0,0.1293103448275862,748493.87,0.01
P0070,E13,1,1613399.67,1613399.67,1,0.0,0.0,1,False,1,0.0,30.0,1613399.67,0.00999354422207876
P0024,E16,2,1068684.96,534342.48,2,0.5,0.5,2,False,672,0.0,0.0892857142857142,534342.48,0.009984520123839009
P0173,E00,3,753034.53,251011.51,3,0.3333333333333333,0.6666666666666666,2,False,739,0.0,0.121786197564276,376517.265,0.009984520123839009
P0008,E09,2,488191.34,244095.67,1,0.5,0.5,2,False,891,0.5,0.0673400673400673,244095.67,0.009984520123839009
P0094,E02,3,629307.46,209769.1533333333,3,0.3333333333333333,0.6666666666666666,2,False,737,0.0,0.1221166892808683,314653.73,0.009984520123839009
P0026,E00,8,2591449.2800000003,323931.16000000003,2,0.0,0.0,3,False,737,0.75,0.3256445047489824,863816.4266666668,0.00998387616897775
P0201,E16,7,2755111.31,393587.33,2,0.0,0.0,3,False,697,0.7142857142857143,0.3012912482065997,918370.4366666666,0.00998387616897775
P0085,E06,3,1044052.03,348017.3433333333,1,0.0,0.0,1,False,2,0.6666666666666667,45.0,1044052.03,0.009979942693409741
P0050,E15,3,686176.88,228725.62666666668,3,0.0,0.3333333333333333,1,False,800,0.0,0.1124999999999999,686176.88,0.009974226804123711
P0150,E06,2,147498.77,73749.385,2,0.0,0.0,1,False,28,0.0,2.142857142857143,147498.77,0.0
P0145,E09,1,32589.08,32589.08,1,0.0,1.0,1,False,1,0.0,30.0,32589.08,0.0
P0145,E14,1,156585.61,156585.61,1,0.0,1.0,1,False,1,0.0,30.0,156585.61,0.0
