id_proveedor,id_entidad,n_contratos,pct_no_competitiva,score_riesgo_favoritismo,label
P0168,E17,12,0.9166666666666666,1.0,1
P0000,E15,11,1.0,0.99,1
P0051,E08,16,0.9375,0.98,1
P0138,E00,14,1.0,0.97,1
P0049,E16,15,0.9333333333333333,0.97,1
P0154,E16,11,1.0,0.96,1
P0093,E16,6,0.16666666666666666,0.03,0
P0008,E15,6,0.0,0.03,0
P0200,E08,6,0.0,0.03,0
P0098,E02,3,0.0,0.01,0
P0066,E13,3,0.0,0.01,0
P0070,E16,2,0.0,0.0,0
P0216,E13,1,1.0,0.0,0
P0178,E11,2,0.5,0.0,0
P0072,E07,5,0.4,0.0,0
P0168,E11,1,1.0,0.0,0
P0035,E16,1,1.0,0.0,0
P0093,E11,2,0.0,0.0,0
P0111,E01,2,0.5,0.0,0
P0117,E06,2,0.5,0.0,0
P0098,E15,2,0.5,0.0,0
P0104,E10,2,0.5,0.0,0
P0124,E16,1,0.0,0.0,0
P0175,E09,1,0.0,0.0,0
P0202,E15,1,0.0,0.0,0
P0080,E04,4,0.0,0.0,0
P0006,E11,2,0.0,0.0,0
P0102,E00,2,0.5,0.0,0
P0134,E17,3,0.0,0.0,0
P0079,E00,2,1.0,0.0,0
P0175,E13,3,0.3333333333333333,0.0,0
P0113,E05,1,0.0,0.0,0
P0195,E09,4,0.5,0.0,0
P0134,E07,1,0.0,0.0,0
P0105,E15,1,1.0,0.0,0
P0180,E09,4,0.75,0.0,0
P0217,E13,1,0.0,0.0,0
P0059,E10,2,1.0,0.0,0
P0211,E13,1,0.0,0.0,0
P0023,E13,2,1.0,0.0,0
P0019,E09,1,1.0,0.0,0
P0011,E00,2,1.0,0.0,0
P0164,E00,1,0.0,0.0,0
P0130,E06,1,0.0,0.0,0
P0157,E04,3,0.0,0.0,0
P0212,E10,4,0.25,0.0,0
P0004,E01,3,0.0,0.0,0
P0162,E03,1,1.0,0.0,0
P0058,E11,4,0.25,0.0,0
P0080,E00,1,1.0,0.0,0
P0217,E07,2,0.0,0.0,0
P0149,E00,4,0.5,0.0,0
P0107,E17,5,0.2,0.0,0
P0141,E15,1,1.0,0.0,0
P0057,E16,1,1.0,0.0,0
P0010,E03,2,0.0,0.0,0
P0004,E02,1,1.0,0.0,0
P0142,E07,2,0.0,0.0,0
P0181,E07,1,0.0,0.0,0
P0155,E16,3,0.0,0.0,0
P0114,E03,2,0.5,0.0,0
P0022,E08,1,1.0,0.0,0
P0007,E08,1,1.0,0.0,0
P0188,E05,2,0.0,0.0,0
P0041,E17,2,1.0,0.0,0
P0051,E04,1,0.0,0.0,0
P0103,E09,2,0.5,0.0,0
P0112,E14,5,0.2,0.0,0
P0196,E02,1,1.0,0.0,0
P0127,E09,2,0.0,0.0,0
P0123,E10,3,0.3333333333333333,0.0,0
P0153,E15,1,1.0,0.0,0
P0203,E16,1,1.0,0.0,0
P0198,E02,2,1.0,0.0,0
P0092,E06,2,0.0,0.0,0
P0158,E06,1,1.0,0.0,0
P0028,E13,1,1.0,0.0,0
P0187,E15,3,0.0,0.0,0
P0000,E13,1,0.0,0.0,0
P0042,E12,1,0.0,0.0,0
P0058,E15,1,1.0,0.0,0
P0149,E06,2,1.0,0.0,0
P0207,E08,2,0.0,0.0,0
P0015,E16,2,0.5,0.0,0
P0173,E13,2,0.0,0.0,0
P0150,E16,1,0.0,0.0,0
P0120,E01,3,0.0,0.0,0
P0082,E14,2,0.5,0.0,0
P0131,E14,1,1.0,0.0,0
P0044,E01,1,0.0,0.0,0
P0208,E02,1,1.0,0.0,0
P0088,E04,2,0.0,0.0,0
