id_proveedor,id_entidad,objeto,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real,score_anomalia,es_anomalia_modelo,cumple_regla_fraccionamiento
P0145,E08,Adquisición de bienes de oficina,2,1,1283021.03,0.5,1432652.44,False,0.23944708330497189,True,False
P0093,E16,Servicio de limpieza y vigilancia,5,5,1034203.56,1.0,1034203.56,True,0.21092258488738014,True,True
P0051,E08,Adquisición de bienes de oficina,15,2,258276.05,1.0,3418163.99,False,0.20812740731631907,True,False
P0200,E08,Servicio de limpieza y vigilancia,3,3,751232.565,0.6666666666666666,751232.565,True,0.19126795740029945,True,False
P0008,E15,Servicio de limpieza y vigilancia,5,5,512445.325,1.0,512445.325,True,0.18953024712074917,True,True
P0049,E16,Servicio de mantenimiento de infraestructura,14,2,602784.12,1.0,3148144.86,False,0.18660797606952562,True,False
P0118,E15,Adquisición de bienes de oficina,2,1,998574.32,0.5,1018820.48,False,0.1840157093368796,True,False
P0000,E15,Adquisición de bienes de oficina,11,2,619273.87,1.0,2407293.72,False,0.16755064552413634,True,False
P0154,E16,Servicio de capacitación,10,2,415898.87,1.0,1714248.79,False,0.1605177142505293,True,False
P0067,E00,Adquisición de equipos informáticos,4,4,707375.6299999999,1.0,707375.6299999999,True,0.1543865766222423,True,True
P0168,E17,Suministro de combustible,12,2,316176.77,1.0,2712686.81,False,0.15049693882284576,True,False
P0138,E00,Servicio de mantenimiento de infraestructura,14,2,348947.80000000005,1.0,3055932.4300000006,False,0.14961536636531136,True,False
P0066,E13,Adquisición de bienes de oficina,3,3,906095.78,1.0,906095.78,True,0.13084066591156018,True,True
P0004,E01,Servicio de capacitación,2,1,55340.72,0.5,767045.27,False,0.10268607596224988,True,False
P0186,E13,Adquisición de bienes de oficina,2,1,51829.16,0.5,718602.9700000001,False,0.09268520966173444,True,False
P0054,E07,Servicio de limpieza y vigilancia,3,1,83282.2,1.0,137594.04,False,0.08593175170576683,True,False
P0216,E11,Servicio de transporte,2,1,21871.98,0.5,472235.06,False,0.08524917076026206,True,False
P0030,E12,Adquisición de materiales de construcción,2,1,24050.75,0.5,574308.12,False,0.07819692171421633,True,False
P0031,E00,Suministro de combustible,2,1,55667.01,0.5,547987.28,False,0.07263201711928591,True,False
P0147,E17,Adquisición de bienes de oficina,3,3,586313.49,1.0,586313.49,True,0.07151732683547973,True,True
P0098,E02,Servicio de transporte,3,3,490285.62,1.0,490285.62,True,0.07091320160010772,True,True
P0132,E15,Servicio de mantenimiento de infraestructura,2,2,80454.09,1.0,80454.09,False,0.05740625436975977,True,False
P0107,E17,Servicio de limpieza y vigilancia,3,3,535453.48,1.0,535453.48,True,0.05491770713202937,True,True
P0053,E08,Obra de rehabilitación vial,2,2,187482.64,1.0,187482.64,False,0.04996475311486659,True,False
P0101,E15,Servicio de capacitación,2,2,152230.54,1.0,152230.54,False,0.03445220030197127,True,False
P0112,E14,Consultoría en ingeniería,2,1,301960.3,1.0,507209.35,False,0.0035001073458017506,True,False
P0038,E16,Consultoría en ingeniería,2,1,329700.61,1.0,443698.91,False,-0.008442342328502439,False,False
P0023,E15,Adquisición de bienes de oficina,2,1,353163.13,1.0,394697.78,False,-0.00913039054283854,False,False
P0007,E09,Servicio de capacitación,2,1,337211.43,1.0,358244.36,False,-0.03203986856421959,False,False
P0137,E12,Adquisición de materiales de construcción,2,1,310672.03,1.0,352051.69000000006,False,-0.042872374023737,False,False
P0023,E14,Suministro de combustible,2,1,215947.99,1.0,476032.98,False,-0.05314728530734353,False,False
P0213,E03,Adquisición de equipos informáticos,2,1,3404.81,1.0,16778.27,False,-0.06124790054890311,False,False
P0095,E16,Consultoría en ingeniería,2,1,262573.05,1.0,378673.77,False,-0.06720813559758665,False,False
P0149,E05,Servicio de transporte,2,1,220480.62,1.0,417395.08,False,-0.07341566306072661,False,False
P0211,E16,Adquisición de equipos informáticos,2,1,257459.28,1.0,289916.37,False,-0.0765506796310057,False,False
P0073,E02,Adquisición de bienes de oficina,2,1,248589.81,1.0,303081.61,False,-0.08301942007390001,False,False
P0119,E13,Adquisición de equipos informáticos,2,1,232858.01,1.0,266361.82,False,-0.09051214395915214,False,False
P0196,E13,Servicio de transporte,2,1,57864.52,1.0,350084.23000000004,False,-0.09126979574810185,False,False
P0066,E14,Adquisición de equipos informáticos,2,1,91317.28,1.0,375910.53,False,-0.09555725655374292,False,False
P0024,E02,Suministro de combustible,2,1,157210.55,1.0,363874.62,False,-0.10243318107560434,False,False
P0037,E11,Adquisición de equipos informáticos,2,1,189395.31,1.0,299453.17,False,-0.11126364363580687,False,False
P0132,E14,Adquisición de equipos informáticos,2,1,186969.5,1.0,267814.86,False,-0.11429128697881696,False,False
P0030,E13,Servicio de limpieza y vigilancia,2,1,5742.54,1.0,67273.17499999999,False,-0.11473347047008703,False,False
P0217,E16,Adquisición de bienes de oficina,2,1,6183.58,1.0,150889.84,False,-0.11609349527965945,False,False
P0080,E04,Consultoría en ingeniería,2,1,192865.08,1.0,199371.38,False,-0.1176520190007968,False,False
