id_proveedor,id_entidad,objeto,objeto_familia,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,score_anomalia,senal_priorizacion_fraccionamiento,label
P0042,E00,Rehabilitación de vía pública,works::rehabilitacion|via,5,8620839.04,1.0,8.357786393389402,True,1
P0166,E03,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,8442262.08,1.0,8.151078985006581,True,1
P0196,E14,Obra de rehabilitación de carretera,works::rehabilitacion|via,5,6493061.750000001,1.0,5.824995350838685,True,1
P0179,E00,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4979075.13,1.0,4.037679373340582,True,1
P0065,E02,Obra de rehabilitación de carretera,works::rehabilitacion|via,4,4564229.58,1.0,3.5472836790020024,True,0
P0045,E11,Suministro de combustible,goods::combustible|suministro,1,507919.05,0.0,3.4620852817541268,False,0
P0185,E08,Rehabilitación de vía pública,works::rehabilitacion|via,3,3398596.94,1.0,2.5175682901071825,True,0
P0215,E09,Obra de rehabilitación vial,works::rehabilitacion|via,2,979471.6000000001,1.0,2.375893128404159,False,0
P0215,E15,Adquisición de equipos informáticos,goods::equipo|informatico,1,526998.54,0.5,2.3748188886166313,False,0
P0054,E07,Servicio de capacitación,services::capacitacion,1,649735.39,0.5,2.3736094834157986,False,0
P0211,E14,Adquisición de equipos informáticos,goods::equipo|informatico,1,651447.31,0.5,2.371802860284684,False,0
P0063,E16,Adquisición de equipos informáticos,goods::equipo|informatico,1,518462.89,0.5,2.355365637632699,False,0
P0108,E06,Suministro de combustible,goods::combustible|suministro,1,379283.82,0.5,2.3525527319992117,False,0
P0034,E00,Suministro de combustible,goods::combustible|suministro,1,366965.21,0.5,2.3406902621316825,False,0
P0004,E01,Consultoría en ingeniería,services::consultoria|ingenieria,1,113639.35,0.5,2.3228559782596414,False,0
P0014,E14,Adquisición de bienes de oficina,goods::bienes|oficina,1,124429.23,0.5,2.321168076968412,False,0
P0087,E09,Adquisición de materiales de construcción,goods::construccion|material,1,15084.69,0.5,2.317266833678139,False,0
P0211,E05,Obra de rehabilitación vial,works::rehabilitacion|via,2,504148.26,1.0,2.1645859073798333,False,0
P0029,E07,Obra de rehabilitación vial,works::rehabilitacion|via,1,331928.5,1.0,2.091123668389405,False,0
P0197,E04,Obra de rehabilitación vial,works::rehabilitacion|via,2,540490.02,1.0,2.0368939755099915,False,0
P0053,E06,Suministro de combustible,goods::combustible|suministro,2,1069587.13,0.36363636363636365,1.9897004762471115,False,0
P0156,E04,Suministro de combustible,goods::combustible|suministro,3,812025.0700000001,0.8333333333333334,1.9817573217015805,True,0
P0177,E09,Adquisición de equipos informáticos,goods::equipo|informatico,2,722913.07,0.25,1.9138313000910887,False,0
P0034,E00,Servicio de capacitación,services::capacitacion,1,100149.27,0.875,1.8368865091474997,False,0
P0139,E07,Suministro de combustible,goods::combustible|suministro,2,1428933.8399999999,0.4,1.8198935230998448,False,0
P0167,E05,Servicio de capacitación,services::capacitacion,2,365738.82,0.9090909090909091,1.812077235092199,False,0
P0061,E05,Adquisición de materiales de construcción,goods::construccion|material,1,744960.97,0.2857142857142857,1.770684371716182,False,0
P0135,E00,Consultoría en ingeniería,services::consultoria|ingenieria,2,1626117.48,0.4,1.7557882841158878,False,0
P0126,E15,Adquisición de materiales de construcción,goods::construccion|material,2,1325019.24,0.3333333333333333,1.7475298615864776,False,0
P0107,E00,Servicio de capacitación,services::capacitacion,1,163609.44,0.6,1.734664770932588,False,0
P0153,E01,Adquisición de materiales de construcción,goods::construccion|material,2,837565.89,0.45454545454545453,1.729076295225621,False,0
P0163,E17,Servicio de transporte,services::transporte,1,372518.17,0.8571428571428571,1.728518176799695,False,0
