id_proveedor,id_funcionario,n_contratos,monto_total,comparte_telefono,comparte_direccion,vinculo_sospechoso
P0000,F000,2,106597.77,False,False,False
P0000,F001,1,77087.93,False,False,False
P0000,F007,1,189925.64,False,False,False
P0000,F013,2,164019.32,False,False,False
P0000,F018,1,86737.44,False,False,False
P0000,F028,1,178172.55,False,False,False
P0000,F029,1,11101.7,False,False,False
P0000,F035,1,17749.44,False,False,False
P0000,F037,1,74404.85,False,False,False
P0000,F038,1,21563.26,False,False,False
P0000,F041,2,179883.44999999998,False,False,False
P0000,F054,1,91538.24,False,False,False
P0001,F000,2,278370.06999999995,False,False,False
P0001,F002,1,67999.26,False,False,False
P0001,F003,1,102697.68,False,False,False
P0001,F007,3,423507.98,False,False,False
P0001,F011,1,953062.62,False,False,False
P0001,F012,2,243357.06,False,False,False
P0001,F013,1,127942.19,False,False,False
P0001,F014,1,117888.71,False,False,False
P0001,F021,1,20510.05,False,False,False
P0001,F026,1,365978.32,False,False,False
P0001,F031,2,926274.27,False,False,False
P0001,F035,4,402752.49,False,False,False
P0001,F038,1,294949.52,False,False,False
P0001,F051,1,47050.97,False,False,False
P0001,F054,1,140818.73,False,False,False
P0001,F055,1,20426.33,False,False,False
P0001,F056,1,27283.12,False,False,False
P0001,F058,1,46127.82,False,False,False
P0002,F000,12,5063511.91,False,False,False
P0002,F012,1,78597.23,False,False,False
P0002,F014,1,6939.85,False,False,False
P0002,F016,2,119710.92,False,False,False
P0002,F026,1,49616.81,False,False,False
P0002,F030,1,74404.85,False,False,False
P0002,F042,1,41324.95,False,False,False
P0002,F054,1,14996.83,False,False,False
P0002,F055,1,190057.13,False,False,False
P0003,F002,1,25628.88,False,False,False
P0003,F004,1,434780.7,False,False,False
P0003,F010,2,297067.85,False,False,False
P0003,F018,1,71013.49,False,False,False
P0003,F021,1,38280.47,False,False,False
P0003,F027,1,16154.91,False,False,False
P0003,F034,1,72765.71,False,False,False
P0003,F035,3,261004.29,False,False,False
P0003,F038,2,336707.43,False,False,False
P0003,F041,1,132805.0,False,False,False
P0003,F046,1,49674.24,False,False,False
P0003,F049,1,35065.41,False,False,False
P0003,F055,1,26206.7,False,False,False
P0003,F056,2,390678.87,False,False,False
P0003,F057,1,54735.01,False,False,False
P0003,F058,1,160673.16,False,False,False
P0004,F000,2,334274.81,False,False,False
P0004,F003,1,35637.53,False,False,False
P0004,F004,1,14809.7,False,False,False
P0004,F017,1,31272.44,False,False,False
P0004,F018,1,711704.55,False,False,False
P0004,F021,1,20670.03,False,False,False
P0004,F023,1,67555.88,False,False,False
P0004,F027,1,89960.85,False,False,False
P0004,F029,1,76455.99,False,False,False
P0004,F031,1,49612.85,False,False,False
P0004,F039,3,729255.01,False,False,False
P0004,F042,1,12648.45,False,False,False
P0004,F043,1,50605.12,False,False,False
P0004,F048,1,113639.35,False,False,False
P0004,F054,1,36288.47,False,False,False
P0004,F058,2,152022.53,False,False,False
P0005,F003,2,462893.65,False,False,False
P0005,F006,1,24484.43,False,False,False
P0005,F007,2,181306.06999999998,False,False,False
P0005,F010,1,15972.94,False,False,False
P0005,F012,1,8339.62,False,False,False
P0005,F018,1,142880.11,False,False,False
P0005,F021,1,97192.95,False,False,False
P0005,F028,1,406538.82,False,False,False
P0005,F035,1,61736.55,False,False,False
P0005,F041,1,38447.71,False,False,False
P0005,F048,1,80015.89,False,False,False
P0005,F050,1,74404.85,False,False,False
P0005,F053,1,1103772.76,False,False,False
P0005,F056,1,43606.89,False,False,False
P0006,F008,1,77087.93,False,False,False
P0006,F013,1,28673.69,False,False,False
P0006,F016,1,18448.41,False,False,False
P0006,F019,1,135676.38,False,False,False
P0006,F026,3,115942.11,False,False,False
P0006,F030,1,26562.43,False,False,False
P0006,F031,1,26058.86,False,False,False
P0006,F038,1,81802.77,False,False,False
P0006,F050,1,258465.46,False,False,False
P0006,F051,1,142462.91,False,False,False
P0006,F055,1,89083.4,False,False,False
P0006,F059,1,87056.99,False,False,False
P0007,F007,2,375847.41000000003,False,False,False
P0007,F020,1,135822.5,False,False,False
P0007,F023,1,29569.08,False,False,False
P0007,F028,1,27367.25,False,False,False
P0007,F031,1,112635.21,False,False,False
P0007,F032,1,90239.5,False,False,False
P0007,F033,1,67101.46,False,False,False
P0007,F038,1,218416.77,False,False,False
P0007,F043,1,5801.22,False,False,False
P0007,F047,1,54619.81,False,False,False
P0007,F048,1,38095.4,False,False,False
P0007,F059,1,74404.85,False,False,False
P0008,F000,2,119203.53,False,False,False
P0008,F003,2,101346.3,False,False,False
P0008,F006,1,604303.07,False,False,False
P0008,F011,1,27824.85,False,False,False
P0008,F013,1,245882.22,False,False,False
P0008,F014,1,29376.37,False,False,False
P0008,F017,1,48303.21,False,False,False
P0008,F018,1,12517.36,False,False,False
P0008,F021,1,55786.35,False,False,False
P0008,F031,1,49012.55,False,False,False
P0008,F032,1,46635.99,False,False,False
P0008,F033,1,356417.06,False,False,False
P0008,F034,1,74404.85,False,False,False
P0008,F035,2,315159.43,False,False,False
P0008,F036,1,103136.36,False,False,False
P0008,F041,2,66349.48,False,False,False
P0008,F058,1,22350.9,False,False,False
P0009,F011,1,88565.36,False,False,False
P0009,F012,1,40892.69,False,False,False
P0009,F017,1,23976.85,False,False,False
P0009,F021,1,174000.25,False,False,False
P0009,F024,2,145817.07,False,False,False
P0009,F026,1,41663.85,False,False,False
P0009,F028,1,379435.48,False,False,False
P0009,F031,1,63385.55,False,False,False
P0009,F034,1,71996.06,False,False,False
P0009,F035,1,998574.32,False,False,False
P0009,F040,1,15607.44,False,False,False
P0009,F048,2,131226.68,False,False,False
P0009,F055,2,115186.42000000001,False,False,False
P0010,F011,1,54000.38,False,False,False
P0010,F016,1,96432.92,False,False,False
P0010,F017,5,2306395.15,False,False,False
P0010,F018,5,1328323.51,False,False,False
P0010,F019,1,4479.58,False,False,False
P0010,F033,1,204321.76,False,False,False
P0010,F035,1,22173.94,False,False,False
P0010,F037,1,68377.36,False,False,False
P0010,F041,1,27244.19,False,False,False
P0010,F042,1,140665.19,False,False,False
P0010,F044,1,90886.87,False,False,False
P0010,F058,1,32674.83,False,False,False
P0011,F001,1,61711.94,False,False,False
P0011,F014,1,97929.8,False,False,False
P0011,F019,2,144569.53,False,False,False
P0011,F021,1,33903.72,False,False,False
P0011,F028,1,17995.72,False,False,False
P0011,F035,2,280580.95999999996,False,False,False
P0011,F036,1,67903.04,False,False,False
P0011,F039,9,4450560.05,False,False,False
P0011,F042,1,14778.56,False,False,False
P0011,F046,1,25756.8,False,False,False
P0011,F056,1,58219.88,False,False,False
P0012,F000,2,360952.13,False,False,False
P0012,F001,1,103765.88,False,False,False
P0012,F004,1,26054.64,False,False,False
P0012,F011,1,55194.29,False,False,False
P0012,F015,1,76722.29,False,False,False
P0012,F035,4,217800.65,False,False,False
P0012,F036,1,21462.69,False,False,False
P0012,F039,1,145329.53,False,False,False
P0012,F048,1,18737.21,False,False,False
P0012,F058,1,64783.24,False,False,False
P0013,F006,2,166618.56,False,False,False
P0013,F011,1,77335.38,False,False,False
P0013,F014,1,14856.09,False,False,False
P0013,F022,1,30144.36,False,False,False
P0013,F025,1,74404.85,False,False,False
P0013,F026,1,73514.0,False,False,False
P0013,F030,1,30760.42,False,False,False
P0013,F034,1,2452.13,False,False,False
P0013,F037,2,116308.42000000001,False,False,False
P0013,F039,1,104668.03,False,False,False
P0013,F048,1,142141.52,False,False,False
P0013,F055,2,257075.65999999997,False,False,False
P0013,F056,1,157934.19,False,False,False
P0013,F058,2,266691.02,False,False,False
P0014,F007,1,74404.85,False,False,False
P0014,F008,1,80310.79,False,False,False
