params,mean_test_score,std_test_score
"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}",0.8444444444444444,0.1227262335243029
"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200}",0.8444444444444444,0.1227262335243029
"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8444444444444444,0.1227262335243029
"{'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 500}",0.8444444444444444,0.1227262335243029
"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 500}",0.8444444444444444,0.1227262335243029
"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8444444444444444,0.1227262335243029
"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 200}",0.8444444444444444,0.1227262335243029
"{'max_depth': 6, 'min_samples_leaf': 1, 'n_estimators': 100}",0.8444444444444444,0.1227262335243029
"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 500}",0.8444444444444444,0.1227262335243029
"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8444444444444444,0.1227262335243029
"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200}",0.8444444444444444,0.1227262335243029
"{'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100}",0.8444444444444444,0.1227262335243029
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.8444444444444444,0.1227262335243029
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8444444444444444,0.1227262335243029
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.8444444444444444,0.1227262335243029
"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",0.8444444444444444,0.1227262335243029
"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",0.8444444444444444,0.1227262335243029
"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",0.8444444444444444,0.1227262335243029
"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8444444444444444,0.1227262335243029
"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 500}",0.8444444444444444,0.1227262335243029
"{'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7611111111111111,0.1755063222103479
"{'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7611111111111111,0.1755063222103479
"{'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200}",0.7611111111111111,0.1755063222103479
"{'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7611111111111111,0.1755063222103479
"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7611111111111111,0.1755063222103479
"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7611111111111111,0.1755063222103479
"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}",0.7611111111111111,0.1755063222103479
"{'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7611111111111111,0.1755063222103479
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7611111111111111,0.1755063222103479
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7611111111111111,0.1755063222103479
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 200}",0.7611111111111111,0.1755063222103479
"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7611111111111111,0.1755063222103479
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 100}",0.7611111111111111,0.1755063222103479
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 200}",0.7611111111111111,0.1755063222103479
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7611111111111111,0.1755063222103479
"{'max_depth': 6, 'min_samples_leaf': 2, 'n_estimators': 500}",0.7611111111111111,0.1755063222103479
