fase,n_estimators,max_samples,auc_pr_validacion_medio,auc_pr_min,auc_pr_max,recall_at_k_validacion_medio,recall_at_k_min,recall_at_k_max,contamination,f1_validacion_medio,precision_validacion_media,recall_validacion_medio
ranking,100.0,0.8,0.5336974105372947,0.19867858749437695,0.7329670329670329,0.4,0.0,0.6,,,,
ranking,100.0,0.5,0.5322635970840305,0.20379296657934426,0.7329670329670328,0.4,0.0,0.6,,,,
ranking,300.0,0.5,0.527286256332023,0.2188888888888889,0.7435897435897435,0.36,0.0,0.6,,,,
ranking,200.0,0.8,0.52424220784525,0.18382927014505962,0.7329670329670329,0.4,0.0,0.6,,,,
ranking,100.0,1.0,0.5241825949435317,0.1912055539919317,0.7329670329670329,0.4,0.0,0.6,,,,
ranking,200.0,0.5,0.5222419770818613,0.20746031746031746,0.7329670329670328,0.36,0.0,0.6,,,,
ranking,200.0,1.0,0.5186215354320078,0.19120555399193168,0.7329670329670329,0.4,0.0,0.6,,,,
ranking,300.0,0.8,0.5182440120266207,0.18523809523809523,0.7329670329670329,0.36,0.0,0.6,,,,
ranking,300.0,1.0,0.516544750332003,0.19412953060011884,0.7329670329670329,0.36,0.0,0.6,,,,
threshold,,,,,,,,,0.05,0.45,0.6,0.36
threshold,,,,,,,,,0.03,0.44523809523809527,0.8,0.32
threshold,,,,,,,,,0.08,0.4248717948717949,0.48,0.4
threshold,,,,,,,,,0.12,0.40820512820512816,0.41,0.44000000000000006
threshold,,,,,,,,,auto,0.3067882925468065,0.2005220269926152,0.6799999999999999
